path	bytes	sha256	path_sanitized
.gitattributes	99	2be775b38fb8060513a5ea8f993352862e28649eab0c40f7b9958b040d44bf37	false
.github/workflows/public-release-audit.yml	537	b77cc5b23f115b55bbb970d4b6eddd76c6bcda9fd8a7e5e54bd411a65ed4892c	false
.gitignore	702	bf46b15990a157cb456ac792c1a99c0e20922d368a086e7bae887323aa89516a	false
.zenodo.json	1481	dda3f53c22d0925517c49f1917a5fd5672b31c5ab57134f4281f0e806b4299f7	false
.zenodo.json.template	1167	73feb0d2935b04413879cb70759065b6764d82cb61e31edfe367494e76eec680	false
CHANGELOG.md	675	52b654317aa9d19c2ca37f37742b6c0f5588a640e64a985927d9dc0da221c9da	false
CITATION.cff	904	13eb7d7d83a09d9b654bfe9f9a2e5456e83e845a379dbf2d73d4c49872e87cb2	false
CITATION.cff.template	656	b0cfdb47a0691ef0a49640716fc85efedcbb3d79c41d00e53324c864b8b2fd39	false
LICENSE	1112	c7145631055e47ffd0700878ea49f931cea0c193af93fdce5d7ed34033bb4a57	false
README.md	7920	1a09a61e750f4bcc862ca8ccb1825231ebf462290fa6a301efcadb549644829c	false
RELEASE_METADATA.md	2290	bd08a785910e06982e55bab1557dbb40d1a4ccae0357b7a5f6ea8735910347f2	false
REPRODUCIBILITY.md	5661	06398eb86d8ca2ae259aeb65799dee7e2d1c254000f313838cd38dd5f7e9f947	false
config/cell_marker_panels.json	1799	a2b31bf8c118711de5193dbba2c2c6a89ac00c1b7cb55b807c152bb13440ff03	false
config/discovery_retained_cell_sensitivity_threshold_20.csv	1569	b4fd9dab1d4e05c1bcb0c839adc22073f1d2efa70312b3a40da5e48f44a29b1e	false
config/discovery_retained_cell_sensitivity_threshold_30.csv	1569	888738b285539fcf1d5ea1bc22ef8320c0686f3120229481c0c48f15fe2a2564	false
config/discovery_retained_cell_sensitivity_threshold_50.csv	1569	150d589327b181ae853fa1290fe499d6f99bbf59af2320e621f723ce1fd4795a	false
config/np_post_hoc_external_expansion_contrast_spec.csv	4552	7773410f953b42e600444088904d7cf5e3bdd3412a5c64fc82b7a1176ec63204	false
config/np_source_family_replacement_contrast_spec.csv	4562	1ae631df0ff5fad0155889feec0c738a72d43bdff8b0a8a5c764bfbaf5dd1d4a	false
config/program_modules.json	2196	04ae3b181dbcb67e5c29899e637a3141a95bf916931211a47902eaed45b4f15c	false
data/DATA_ACCESS.md	2729	3b6869fd3d9bc75fbc293660de065aa8387347ad3d1bdf80b32be7e414ed52c0	false
data/derived/GSE153066_count_matrix_audit.csv	1260	80a13b3dc486317f9f47ed5111ce2172feaf1a523f9851585d627bb1d244721a	false
data/derived/GSE153066_donor_ledger.csv	9355	e935ecf13aee69900d981f98fa14b88d6c20608cfd1ff366620bbe0ccf1f703b	false
data/derived/GSE153066_soft_metadata.csv	16066	26d28fd896792fd9128c5cdb70aa1267e97ab3409ed0b696a82e4b93b39ef70e	false
data/derived/GSE165722_archive_inventory.csv	2815	86943e1dd63068470edff596aeff2b50434e2e71888861ac1f4429839c3c4af7	false
data/derived/GSE165722_descriptive_qc.csv	3475	a17dcb90edb1d3d3aefbef423df835e87548aad08d338926124b7babe095f1d6	false
data/derived/GSE165722_donor_ledger.csv	3241	2a84b37c32b532e51df5701efd5b466d493aacb82f32c98d66fdf8d7ba19203d	false
data/derived/GSE165722_matrix_audit.csv	5113	5552fd5f9e5cb714399bf58e55157dbf04449c033e6ca57362273f8a0afb4e20	false
data/derived/GSE229711_10x_matrix_audit.csv	1617	86615f86a430dc3d30eebbd5a33acf6060f0abeea31bd744a68fdecab0415ed1	false
data/derived/GSE229711_archive_inventory.csv	3256	5a407ea346c2ab3ad7cc1348687b2a505fa46407904cb755af46725eb6883ccf	false
data/derived/GSE229711_soft_metadata.csv	4256	2f39a6cad23dbf3dc0c82dac3825d6be574900edb97b284511b122a19e7ca004	false
data/derived/GSE230808_10x_matrix_audit.csv	4497	fc97167469fa030f8acaeddddc69df3491658b208b83843debe9e23c3eb53e60	false
data/derived/GSE230808_archive_inventory.csv	9611	3fa472641c56597eb71d9e903da56b4875bddc432b0c461b3ef59e2581c89104	false
data/derived/GSE230808_soft_metadata.csv	12598	c2fa4a81fe9c83cbb9ffd520e1613fc2020da29f0d3d7d1dc6f208ff0fb11b9b	false
data/derived/GSE230809_discovery_design_summary.csv	253	776979e4af81515aea706e0c6142ff18d06e02d05bf233cf6212a0d238dd81d2	false
data/derived/GSE230809_discovery_raw_data_ledger.csv	7047	9ff37a04f39d6b16cbc328743fc1aed5a38002b0e7ded790a6d4b70e88f9ab3a	false
data/derived/GSE230809_discovery_sample_ledger.csv	19982	31fd166ed16ac0c33aa318dc79d082ead1f6028036daaab13fb9d4173332e775	false
data/derived/GSE244889_10x_matrix_audit.csv	1718	15a71e1a8f7683daf545802b00c8e99460b6ea7e387871d2b2f4f746ef6251ee	false
data/derived/GSE244889_10x_stream_integrity_audit.csv	1410	55a505f1d6a65afd414423c1b898ee0e8411b4e81037186ae72a712d56f4235c	false
data/derived/GSE244889_FPKM_audit.csv	537	1784097eb9a1d842f282185c61a9b7655d00458cdc1581dfcc134fa272e01160	false
data/derived/GSE244889_archive_inventory.csv	3687	22a59491a8a4b82fc2677a145e9a5a3508258307f6d792669c35836f0ea7a8ca	false
data/derived/GSE244889_asset_ledger.csv	1043	f25848179c5ba177d50e3827b3d71f17d2f66a68a481f2f2d8801fd16df1a587	false
data/derived/GSE244889_bulk_sample_ledger.csv	3508	c6cd1914903e4f9ac4085d3bf7521bd0ef1eeb318075e265b0c673e7f5976b8a	false
data/derived/GSE244889_filelist_audit.csv	385	6906235908315627a9e7128f90b4774eb209029d3a58c9be263de777f8654c84	false
data/derived/GSE244889_scrna_sample_ledger.csv	3658	307abd9d76ce4e37eb90d4c48fdee03f84c8867c82b8a3972ce71ed78aead907	false
