archive,archive_sha256,archive_bytes,inspected_at_utc,member,bytes,is_file
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173748_AF_SP21_015_barcodes.tsv.gz,36000,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173748_AF_SP21_015_features.tsv.gz,294508,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173748_AF_SP21_015_matrix.mtx.gz,84668073,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173749_AF_SP21_018_barcodes.tsv.gz,40389,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173749_AF_SP21_018_features.tsv.gz,294508,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173749_AF_SP21_018_matrix.mtx.gz,106743376,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173750_AF_SP22_001_barcodes.tsv.gz,35138,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173750_AF_SP22_001_features.tsv.gz,294508,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173750_AF_SP22_001_matrix.mtx.gz,70180416,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173751_NP_SP21_015_barcodes.tsv.gz,9247,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173751_NP_SP21_015_features.tsv.gz,294508,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173751_NP_SP21_015_matrix.mtx.gz,14226610,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173752_NP_SP21_018_barcodes.tsv.gz,66505,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173752_NP_SP21_018_features.tsv.gz,294508,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173752_NP_SP21_018_matrix.mtx.gz,102532087,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173753_NP_SP22_001_barcodes.tsv.gz,35269,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173753_NP_SP22_001_features.tsv.gz,294508,True
GSE229711_RAW.tar,76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4,464261120,2026-08-13T15:59:07.599340+00:00,GSM7173753_NP_SP22_001_matrix.mtx.gz,83904970,True
