dataset,gsm,donor_id,compartment,disease_state,barcode_member,feature_member,matrix_member,features,barcodes,matrix_rows,matrix_columns,matrix_nnz,dimension_check_pass,matrix_status
GSE230808,GSM7235331,SP20.002,AF,diseased,GSM7235331_AF_SP20_002_barcodes.tsv.gz,GSM7235331_AF_SP20_002_features.tsv.gz,GSM7235331_AF_SP20_002_matrix.mtx.gz,36601,496,36601,496,907601,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235332,SP20.006,AF,diseased,GSM7235332_AF_SP20_006_barcodes.tsv.gz,GSM7235332_AF_SP20_006_features.tsv.gz,GSM7235332_AF_SP20_006_matrix.mtx.gz,36601,1473,36601,1473,4215225,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235333,SP21.007,AF,diseased,GSM7235333_AF_SP21_007_barcodes.tsv.gz,GSM7235333_AF_SP21_007_features.tsv.gz,GSM7235333_AF_SP21_007_matrix.mtx.gz,36601,5994,36601,5994,18187571,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235334,SP21.011,AF,diseased,GSM7235334_AF_SP21_011_barcodes.tsv.gz,GSM7235334_AF_SP21_011_features.tsv.gz,GSM7235334_AF_SP21_011_matrix.mtx.gz,36601,2389,36601,2389,13355486,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235335,SP21.013,AF,diseased,GSM7235335_AF_SP21_013_barcodes.tsv.gz,GSM7235335_AF_SP21_013_features.tsv.gz,GSM7235335_AF_SP21_013_matrix.mtx.gz,36601,4706,36601,4706,17260372,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235336,SP21.014,AF,diseased,GSM7235336_AF_SP21_014_barcodes.tsv.gz,GSM7235336_AF_SP21_014_features.tsv.gz,GSM7235336_AF_SP21_014_matrix.mtx.gz,36601,3420,36601,3420,11249014,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235337,SP21.016,AF,diseased,GSM7235337_AF_SP21_016_barcodes.tsv.gz,GSM7235337_AF_SP21_016_features.tsv.gz,GSM7235337_AF_SP21_016_matrix.mtx.gz,36601,1599,36601,1599,5708506,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235338,SP21.017,AF,diseased,GSM7235338_AF_SP21_017_barcodes.tsv.gz,GSM7235338_AF_SP21_017_features.tsv.gz,GSM7235338_AF_SP21_017_matrix.mtx.gz,36601,11239,36601,11239,8334323,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235339,SP22.002,AF,diseased,GSM7235339_AF_SP22_002_barcodes.tsv.gz,GSM7235339_AF_SP22_002_features.tsv.gz,GSM7235339_AF_SP22_002_matrix.mtx.gz,36601,4489,36601,4489,16463225,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235340,SP22.003,AF,diseased,GSM7235340_AF_SP22_003_barcodes.tsv.gz,GSM7235340_AF_SP22_003_features.tsv.gz,GSM7235340_AF_SP22_003_matrix.mtx.gz,36601,5400,36601,5400,20246537,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235341,SP21.007,NP,diseased,GSM7235341_NP_SP21_007_barcodes.tsv.gz,GSM7235341_NP_SP21_007_features.tsv.gz,GSM7235341_NP_SP21_007_matrix.mtx.gz,36601,4391,36601,4391,18227181,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235342,SP21.011,NP,diseased,GSM7235342_NP_SP21_011_barcodes.tsv.gz,GSM7235342_NP_SP21_011_features.tsv.gz,GSM7235342_NP_SP21_011_matrix.mtx.gz,36601,2053,36601,2053,12293944,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235343,SP21.013,NP,diseased,GSM7235343_NP_SP21_013_barcodes.tsv.gz,GSM7235343_NP_SP21_013_features.tsv.gz,GSM7235343_NP_SP21_013_matrix.mtx.gz,36601,3030,36601,3030,15127735,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235344,SP21.014,NP,diseased,GSM7235344_NP_SP21_014_barcodes.tsv.gz,GSM7235344_NP_SP21_014_features.tsv.gz,GSM7235344_NP_SP21_014_matrix.mtx.gz,36601,3765,36601,3765,16396149,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235345,SP21.016,NP,diseased,GSM7235345_NP_SP21_016_barcodes.tsv.gz,GSM7235345_NP_SP21_016_features.tsv.gz,GSM7235345_NP_SP21_016_matrix.mtx.gz,36601,2407,36601,2407,7910112,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235346,SP21.017,NP,diseased,GSM7235346_NP_SP21_017_barcodes.tsv.gz,GSM7235346_NP_SP21_017_features.tsv.gz,GSM7235346_NP_SP21_017_matrix.mtx.gz,36601,3597,36601,3597,9101967,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235347,SP22.002,NP,diseased,GSM7235347_NP_SP22_002_barcodes.tsv.gz,GSM7235347_NP_SP22_002_features.tsv.gz,GSM7235347_NP_SP22_002_matrix.mtx.gz,36601,4677,36601,4677,11053295,True,raw 10x Cell Ranger MTX triple reported by GEO
GSE230808,GSM7235348,SP22.003,NP,diseased,GSM7235348_NP_SP22_003_barcodes.tsv.gz,GSM7235348_NP_SP22_003_features.tsv.gz,GSM7235348_NP_SP22_003_matrix.mtx.gz,36601,14746,36601,14746,25217022,True,raw 10x Cell Ranger MTX triple reported by GEO
