dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986001,ecm_collagen_remodeling,ADAMTS4,1,108,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,ADAMTS5,1,251,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL1A1,1,21108,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL1A2,1,47471,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL3A1,1,35620,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL5A1,1,8186,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL5A2,1,13016,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL6A1,1,21721,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL6A2,1,25580,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,COL6A3,1,6309,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,DCN,1,1616003,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,FN1,1,1540477,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,LOX,1,4175,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,LOXL2,1,3227,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,LUM,1,1031432,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,MMP2,1,5035,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,MMP3,1,13366,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,MMP9,1,82,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,MMP13,1,7982,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,POSTN,1,37181,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,SPARC,1,227561,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,TIMP1,1,143090,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,TIMP2,1,23217,72931025
GSE251686,GSM7986001,ecm_collagen_remodeling,TNC,1,3954,72931025
GSE251686,GSM7986001,inflammatory_nfkb,CCL2,1,761,72931025
GSE251686,GSM7986001,inflammatory_nfkb,CCL5,1,38,72931025
GSE251686,GSM7986001,inflammatory_nfkb,CXCL8,1,1266,72931025
GSE251686,GSM7986001,inflammatory_nfkb,FOS,1,589859,72931025
GSE251686,GSM7986001,inflammatory_nfkb,IKBKB,1,213,72931025
GSE251686,GSM7986001,inflammatory_nfkb,IKBKG,1,7,72931025
GSE251686,GSM7986001,inflammatory_nfkb,IL1B,1,18,72931025
GSE251686,GSM7986001,inflammatory_nfkb,IL6,1,318,72931025
GSE251686,GSM7986001,inflammatory_nfkb,JUN,1,312534,72931025
GSE251686,GSM7986001,inflammatory_nfkb,NFKB1,1,568,72931025
GSE251686,GSM7986001,inflammatory_nfkb,NFKB2,1,596,72931025
GSE251686,GSM7986001,inflammatory_nfkb,NFKBIA,1,97054,72931025
GSE251686,GSM7986001,inflammatory_nfkb,NLRP3,1,1,72931025
GSE251686,GSM7986001,inflammatory_nfkb,RELA,1,2118,72931025
GSE251686,GSM7986001,inflammatory_nfkb,RELB,1,658,72931025
GSE251686,GSM7986001,inflammatory_nfkb,STAT3,1,4699,72931025
GSE251686,GSM7986001,inflammatory_nfkb,TICAM1,1,370,72931025
GSE251686,GSM7986001,inflammatory_nfkb,TLR2,1,188,72931025
GSE251686,GSM7986001,inflammatory_nfkb,TLR4,1,232,72931025
GSE251686,GSM7986001,inflammatory_nfkb,TNF,1,46,72931025
GSE251686,GSM7986001,inflammatory_nfkb,TNFRSF1A,1,5061,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,BNIP3,1,15373,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,CA9,1,8489,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,EGLN1,1,1791,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,EPAS1,1,2605,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,GCLM,1,979,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,GPX1,1,17683,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,HIF1A,1,32871,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,HMOX1,1,5159,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,LDHA,1,66655,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,NFE2L2,1,3742,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,NQO1,1,2259,72931025
GSE251686,GSM7986001,hypoxia_oxidative_stress,PDK1,1,653,72931025
