dataset,analysis_role,compartment,module_id,contrast_label,excluded_presumed_sample_library_key,excluded_arm,remaining_mild_n,remaining_severe_n,leave_one_key_out_effect_severe_minus_mild,leave_one_key_out_direction,full_effect_direction,direction_agrees_with_full_effect,leave_one_key_out_status,inference_boundary
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,ecm_collagen_remodeling,severe_minus_mild,GSM7986001,mild,1,3,1.43739074,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,ecm_collagen_remodeling,severe_minus_mild,GSM7986003,mild,1,3,1.17026812,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,ecm_collagen_remodeling,severe_minus_mild,GSM7986004,severe,2,2,1.17111614,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,ecm_collagen_remodeling,severe_minus_mild,GSM7986005,severe,2,2,1.56718512,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,ecm_collagen_remodeling,severe_minus_mild,GSM7986006,severe,2,2,1.17318704,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,inflammatory_nfkb,severe_minus_mild,GSM7986001,mild,1,3,-0.22380330,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,inflammatory_nfkb,severe_minus_mild,GSM7986003,mild,1,3,0.16762314,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,inflammatory_nfkb,severe_minus_mild,GSM7986004,severe,2,2,-0.03502507,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,inflammatory_nfkb,severe_minus_mild,GSM7986005,severe,2,2,0.02902486,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,inflammatory_nfkb,severe_minus_mild,GSM7986006,severe,2,2,-0.07827002,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,hypoxia_oxidative_stress,severe_minus_mild,GSM7986001,mild,1,3,-0.25544711,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,hypoxia_oxidative_stress,severe_minus_mild,GSM7986003,mild,1,3,0.09989523,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,hypoxia_oxidative_stress,severe_minus_mild,GSM7986004,severe,2,2,-0.12920324,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,hypoxia_oxidative_stress,severe_minus_mild,GSM7986005,severe,2,2,-0.03917351,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,hypoxia_oxidative_stress,severe_minus_mild,GSM7986006,severe,2,2,-0.06495107,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,disc_matrix_homeostasis,severe_minus_mild,GSM7986001,mild,1,3,-0.08433428,negative_lower_target_severity,positive_higher_target_severity,false,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,disc_matrix_homeostasis,severe_minus_mild,GSM7986003,mild,1,3,0.37340115,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,disc_matrix_homeostasis,severe_minus_mild,GSM7986004,severe,2,2,0.11440952,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,disc_matrix_homeostasis,severe_minus_mild,GSM7986005,severe,2,2,0.08961207,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
GSE251686,isolated_incomplete_nonbalanced_exploratory_effect_display_only,NP,disc_matrix_homeostasis,severe_minus_mild,GSM7986006,severe,2,2,0.22957871,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,Small-sample sensitivity only; not a validation or replication analysis.
