dataset,gsm,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_pass,mapping_key,mapped_gene_symbols,mapped_ensembl_feature_ids,duplicate_symbol_rows_in_module,duplicate_symbol_policy
GSE251686,GSM7986001,ecm_collagen_remodeling,24,24,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,ADAMTS4:ENSG00000158859;ADAMTS5:ENSG00000154736;COL1A1:ENSG00000108821;COL1A2:ENSG00000164692;COL3A1:ENSG00000168542;COL5A1:ENSG00000130635;COL5A2:ENSG00000204262;COL6A1:ENSG00000142156;COL6A2:ENSG00000142173;COL6A3:ENSG00000163359;DCN:ENSG00000011465;FN1:ENSG00000115414;LOX:ENSG00000113083;LOXL2:ENSG00000134013;LUM:ENSG00000139329;MMP2:ENSG00000087245;MMP3:ENSG00000149968;MMP9:ENSG00000100985;MMP13:ENSG00000137745;POSTN:ENSG00000133110;SPARC:ENSG00000113140;TIMP1:ENSG00000102265;TIMP2:ENSG00000035862;TNC:ENSG00000041982,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986001,inflammatory_nfkb,21,21,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,CCL2:ENSG00000108691;CCL5:ENSG00000271503;CXCL8:ENSG00000169429;FOS:ENSG00000170345;IKBKB:ENSG00000104365;IKBKG:ENSG00000269335;IL1B:ENSG00000125538;IL6:ENSG00000136244;JUN:ENSG00000177606;NFKB1:ENSG00000109320;NFKB2:ENSG00000077150;NFKBIA:ENSG00000100906;NLRP3:ENSG00000162711;RELA:ENSG00000173039;RELB:ENSG00000104856;STAT3:ENSG00000168610;TICAM1:ENSG00000127666;TLR2:ENSG00000137462;TLR4:ENSG00000136869;TNF:ENSG00000232810;TNFRSF1A:ENSG00000067182,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986001,hypoxia_oxidative_stress,18,18,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,BNIP3:ENSG00000176171;CA9:ENSG00000107159;EGLN1:ENSG00000135766;EPAS1:ENSG00000116016;GCLM:ENSG00000023909;GPX1:ENSG00000233276;HIF1A:ENSG00000100644;HMOX1:ENSG00000100292;LDHA:ENSG00000134333;NFE2L2:ENSG00000116044;NQO1:ENSG00000181019;PDK1:ENSG00000152256;PRDX1:ENSG00000117450;SLC2A1:ENSG00000117394;SOD1:ENSG00000142168;SOD2:ENSG00000112096;TXN:ENSG00000136810;VEGFA:ENSG00000112715,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986001,disc_matrix_homeostasis,15,14,0.933333,True,Ensembl feature ID with explicit uppercase symbol audit,ACAN;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,ACAN:ENSG00000157766;BGN:ENSG00000182492;CILP:ENSG00000138615;COL2A1:ENSG00000139219;COL9A1:ENSG00000112280;COL9A2:ENSG00000049089;COL9A3:ENSG00000092758;COMP:ENSG00000105664;FMOD:ENSG00000122176;HAPLN1:ENSG00000145681;HAS2:ENSG00000170961;KRT19:ENSG00000171345;MATN3:ENSG00000132031;SOX9:ENSG00000125398,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986003,ecm_collagen_remodeling,24,24,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,ADAMTS4:ENSG00000158859;ADAMTS5:ENSG00000154736;COL1A1:ENSG00000108821;COL1A2:ENSG00000164692;COL3A1:ENSG00000168542;COL5A1:ENSG00000130635;COL5A2:ENSG00000204262;COL6A1:ENSG00000142156;COL6A2:ENSG00000142173;COL6A3:ENSG00000163359;DCN:ENSG00000011465;FN1:ENSG00000115414;LOX:ENSG00000113083;LOXL2:ENSG00000134013;LUM:ENSG00000139329;MMP2:ENSG00000087245;MMP3:ENSG00000149968;MMP9:ENSG00000100985;MMP13:ENSG00000137745;POSTN:ENSG00000133110;SPARC:ENSG00000113140;TIMP1:ENSG00000102265;TIMP2:ENSG00000035862;TNC:ENSG00000041982,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986003,inflammatory_nfkb,21,19,0.904762,True,Ensembl feature ID with explicit uppercase symbol audit,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL6;JUN;NFKB1;NFKB2;NFKBIA;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,CCL2:ENSG00000108691;CCL5:ENSG00000271503;CXCL8:ENSG00000169429;FOS:ENSG00000170345;IKBKB:ENSG00000104365;IKBKG:ENSG00000269335;IL6:ENSG00000136244;JUN:ENSG00000177606;NFKB1:ENSG00000109320;NFKB2:ENSG00000077150;NFKBIA:ENSG00000100906;RELA:ENSG00000173039;RELB:ENSG00000104856;STAT3:ENSG00000168610;TICAM1:ENSG00000127666;TLR2:ENSG00000137462;TLR4:ENSG00000136869;TNF:ENSG00000232810;TNFRSF1A:ENSG00000067182,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986003,hypoxia_oxidative_stress,18,18,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,BNIP3:ENSG00000176171;CA9:ENSG00000107159;EGLN1:ENSG00000135766;EPAS1:ENSG00000116016;GCLM:ENSG00000023909;GPX1:ENSG00000233276;HIF1A:ENSG00000100644;HMOX1:ENSG00000100292;LDHA:ENSG00000134333;NFE2L2:ENSG00000116044;NQO1:ENSG00000181019;PDK1:ENSG00000152256;PRDX1:ENSG00000117450;SLC2A1:ENSG00000117394;SOD1:ENSG00000142168;SOD2:ENSG00000112096;TXN:ENSG00000136810;VEGFA:ENSG00000112715,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986003,disc_matrix_homeostasis,15,14,0.933333,True,Ensembl feature ID with explicit uppercase symbol audit,ACAN;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,ACAN:ENSG00000157766;BGN:ENSG00000182492;CILP:ENSG00000138615;COL2A1:ENSG00000139219;COL9A1:ENSG00000112280;COL9A2:ENSG00000049089;COL9A3:ENSG00000092758;COMP:ENSG00000105664;FMOD:ENSG00000122176;HAPLN1:ENSG00000145681;HAS2:ENSG00000170961;KRT19:ENSG00000171345;MATN3:ENSG00000132031;SOX9:ENSG00000125398,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986004,ecm_collagen_remodeling,24,24,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,ADAMTS4:ENSG00000158859;ADAMTS5:ENSG00000154736;COL1A1:ENSG00000108821;COL1A2:ENSG00000164692;COL3A1:ENSG00000168542;COL5A1:ENSG00000130635;COL5A2:ENSG00000204262;COL6A1:ENSG00000142156;COL6A2:ENSG00000142173;COL6A3:ENSG00000163359;DCN:ENSG00000011465;FN1:ENSG00000115414;LOX:ENSG00000113083;LOXL2:ENSG00000134013;LUM:ENSG00000139329;MMP2:ENSG00000087245;MMP3:ENSG00000149968;MMP9:ENSG00000100985;MMP13:ENSG00000137745;POSTN:ENSG00000133110;SPARC:ENSG00000113140;TIMP1:ENSG00000102265;TIMP2:ENSG00000035862;TNC:ENSG00000041982,0,sum all Ensembl feature rows sharing the symbol; retain audit
GSE251686,GSM7986004,inflammatory_nfkb,21,21,1.000000,True,Ensembl feature ID with explicit uppercase symbol audit,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,CCL2:ENSG00000108691;CCL5:ENSG00000271503;CXCL8:ENSG00000169429;FOS:ENSG00000170345;IKBKB:ENSG00000104365;IKBKG:ENSG00000269335;IL1B:ENSG00000125538;IL6:ENSG00000136244;JUN:ENSG00000177606;NFKB1:ENSG00000109320;NFKB2:ENSG00000077150;NFKBIA:ENSG00000100906;NLRP3:ENSG00000162711;RELA:ENSG00000173039;RELB:ENSG00000104856;STAT3:ENSG00000168610;TICAM1:ENSG00000127666;TLR2:ENSG00000137462;TLR4:ENSG00000136869;TNF:ENSG00000232810;TNFRSF1A:ENSG00000067182,0,sum all Ensembl feature rows sharing the symbol; retain audit
