dataset,donor_id,compartment_source,disease_state,qc_cells,source_nonexcluded_cells,source_nonexcluded_threshold_20_pass,source_nonexcluded_threshold_30_pass,source_nonexcluded_threshold_50_pass,ambiguous_cells,mixed_or_nonresident_cells,nonresident_immune_cells,nonresident_endothelial_cells,nonresident_mural_cells,nonresident_erythroid_cells
GSE230808,SP20.002,AF,diseased,488,471,True,True,True,0,16,0,1,0,0
GSE230808,SP20.006,AF,diseased,1307,1304,True,True,True,0,3,0,0,0,0
GSE230808,SP21.007,AF,diseased,5976,5360,True,True,True,0,616,0,0,0,0
GSE230808,SP21.007,NP,diseased,4317,4154,True,True,True,0,161,0,0,2,0
GSE230808,SP21.011,AF,diseased,2357,2100,True,True,True,0,257,0,0,0,0
GSE230808,SP21.011,NP,diseased,2016,1783,True,True,True,0,206,0,0,27,0
GSE230808,SP21.013,AF,diseased,4691,3739,True,True,True,0,952,0,0,0,0
GSE230808,SP21.013,NP,diseased,2872,2122,True,True,True,0,743,0,0,7,0
GSE230808,SP21.014,AF,diseased,2989,2374,True,True,True,0,615,0,0,0,0
GSE230808,SP21.014,NP,diseased,3702,3409,True,True,True,0,264,0,0,29,0
GSE230808,SP21.016,AF,diseased,955,481,True,True,True,0,474,0,0,0,0
GSE230808,SP21.016,NP,diseased,1678,1376,True,True,True,0,300,0,0,2,0
GSE230808,SP21.017,AF,diseased,8619,8150,True,True,True,0,468,0,0,1,0
GSE230808,SP21.017,NP,diseased,2849,2498,True,True,True,0,347,0,0,4,0
GSE230808,SP22.002,AF,diseased,3924,3442,True,True,True,0,482,0,0,0,0
GSE230808,SP22.002,NP,diseased,3551,3291,True,True,True,0,227,0,0,33,0
GSE230808,SP22.003,AF,diseased,4795,4138,True,True,True,0,657,0,0,0,0
GSE230808,SP22.003,NP,diseased,14502,13748,True,True,True,0,552,0,0,202,0
