dataset,gsm,panel,configured_gene_count,measured_gene_count,measured_fraction
GSE230808,GSM7235331,AF_support,17,17,1.000000
GSE230808,GSM7235331,NP_support,15,15,1.000000
GSE230808,GSM7235331,immune_exclusion,17,17,1.000000
GSE230808,GSM7235331,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235331,mural_exclusion,7,7,1.000000
GSE230808,GSM7235331,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235332,AF_support,17,17,1.000000
GSE230808,GSM7235332,NP_support,15,15,1.000000
GSE230808,GSM7235332,immune_exclusion,17,17,1.000000
GSE230808,GSM7235332,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235332,mural_exclusion,7,7,1.000000
GSE230808,GSM7235332,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235333,AF_support,17,17,1.000000
GSE230808,GSM7235333,NP_support,15,15,1.000000
GSE230808,GSM7235333,immune_exclusion,17,17,1.000000
GSE230808,GSM7235333,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235333,mural_exclusion,7,7,1.000000
GSE230808,GSM7235333,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235334,AF_support,17,17,1.000000
GSE230808,GSM7235334,NP_support,15,15,1.000000
GSE230808,GSM7235334,immune_exclusion,17,17,1.000000
GSE230808,GSM7235334,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235334,mural_exclusion,7,7,1.000000
GSE230808,GSM7235334,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235335,AF_support,17,17,1.000000
GSE230808,GSM7235335,NP_support,15,15,1.000000
GSE230808,GSM7235335,immune_exclusion,17,17,1.000000
GSE230808,GSM7235335,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235335,mural_exclusion,7,7,1.000000
GSE230808,GSM7235335,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235336,AF_support,17,17,1.000000
GSE230808,GSM7235336,NP_support,15,15,1.000000
GSE230808,GSM7235336,immune_exclusion,17,17,1.000000
GSE230808,GSM7235336,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235336,mural_exclusion,7,7,1.000000
GSE230808,GSM7235336,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235337,AF_support,17,17,1.000000
GSE230808,GSM7235337,NP_support,15,15,1.000000
GSE230808,GSM7235337,immune_exclusion,17,17,1.000000
GSE230808,GSM7235337,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235337,mural_exclusion,7,7,1.000000
GSE230808,GSM7235337,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235338,AF_support,17,17,1.000000
GSE230808,GSM7235338,NP_support,15,15,1.000000
GSE230808,GSM7235338,immune_exclusion,17,17,1.000000
GSE230808,GSM7235338,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235338,mural_exclusion,7,7,1.000000
GSE230808,GSM7235338,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235339,AF_support,17,17,1.000000
GSE230808,GSM7235339,NP_support,15,15,1.000000
GSE230808,GSM7235339,immune_exclusion,17,17,1.000000
GSE230808,GSM7235339,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235339,mural_exclusion,7,7,1.000000
GSE230808,GSM7235339,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235340,AF_support,17,17,1.000000
GSE230808,GSM7235340,NP_support,15,15,1.000000
GSE230808,GSM7235340,immune_exclusion,17,17,1.000000
GSE230808,GSM7235340,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235340,mural_exclusion,7,7,1.000000
GSE230808,GSM7235340,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235341,AF_support,17,17,1.000000
GSE230808,GSM7235341,NP_support,15,15,1.000000
GSE230808,GSM7235341,immune_exclusion,17,17,1.000000
GSE230808,GSM7235341,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235341,mural_exclusion,7,7,1.000000
GSE230808,GSM7235341,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235342,AF_support,17,17,1.000000
GSE230808,GSM7235342,NP_support,15,15,1.000000
GSE230808,GSM7235342,immune_exclusion,17,17,1.000000
GSE230808,GSM7235342,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235342,mural_exclusion,7,7,1.000000
GSE230808,GSM7235342,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235343,AF_support,17,17,1.000000
GSE230808,GSM7235343,NP_support,15,15,1.000000
GSE230808,GSM7235343,immune_exclusion,17,17,1.000000
GSE230808,GSM7235343,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235343,mural_exclusion,7,7,1.000000
GSE230808,GSM7235343,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235344,AF_support,17,17,1.000000
GSE230808,GSM7235344,NP_support,15,15,1.000000
GSE230808,GSM7235344,immune_exclusion,17,17,1.000000
GSE230808,GSM7235344,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235344,mural_exclusion,7,7,1.000000
GSE230808,GSM7235344,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235345,AF_support,17,17,1.000000
GSE230808,GSM7235345,NP_support,15,15,1.000000
GSE230808,GSM7235345,immune_exclusion,17,17,1.000000
GSE230808,GSM7235345,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235345,mural_exclusion,7,7,1.000000
GSE230808,GSM7235345,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235346,AF_support,17,17,1.000000
GSE230808,GSM7235346,NP_support,15,15,1.000000
GSE230808,GSM7235346,immune_exclusion,17,17,1.000000
GSE230808,GSM7235346,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235346,mural_exclusion,7,7,1.000000
GSE230808,GSM7235346,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235347,AF_support,17,17,1.000000
