dataset,gsm,panel,configured_gene_count,measured_gene_count,measured_fraction
GSE244889,GSM7831813,AF_support,17,17,1.000000
GSE244889,GSM7831813,NP_support,15,15,1.000000
GSE244889,GSM7831813,immune_exclusion,17,17,1.000000
GSE244889,GSM7831813,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831813,mural_exclusion,7,7,1.000000
GSE244889,GSM7831813,erythroid_exclusion,7,7,1.000000
GSE244889,GSM7831814,AF_support,17,17,1.000000
GSE244889,GSM7831814,NP_support,15,15,1.000000
GSE244889,GSM7831814,immune_exclusion,17,17,1.000000
GSE244889,GSM7831814,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831814,mural_exclusion,7,7,1.000000
GSE244889,GSM7831814,erythroid_exclusion,7,7,1.000000
GSE244889,GSM7831815,AF_support,17,17,1.000000
GSE244889,GSM7831815,NP_support,15,15,1.000000
GSE244889,GSM7831815,immune_exclusion,17,17,1.000000
GSE244889,GSM7831815,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831815,mural_exclusion,7,7,1.000000
GSE244889,GSM7831815,erythroid_exclusion,7,7,1.000000
GSE244889,GSM7831816,AF_support,17,17,1.000000
GSE244889,GSM7831816,NP_support,15,15,1.000000
GSE244889,GSM7831816,immune_exclusion,17,17,1.000000
GSE244889,GSM7831816,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831816,mural_exclusion,7,7,1.000000
GSE244889,GSM7831816,erythroid_exclusion,7,7,1.000000
GSE244889,GSM7831817,AF_support,17,17,1.000000
GSE244889,GSM7831817,NP_support,15,15,1.000000
GSE244889,GSM7831817,immune_exclusion,17,17,1.000000
GSE244889,GSM7831817,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831817,mural_exclusion,7,7,1.000000
GSE244889,GSM7831817,erythroid_exclusion,7,7,1.000000
GSE244889,GSM7831818,AF_support,17,17,1.000000
GSE244889,GSM7831818,NP_support,15,15,1.000000
GSE244889,GSM7831818,immune_exclusion,17,17,1.000000
GSE244889,GSM7831818,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831818,mural_exclusion,7,7,1.000000
GSE244889,GSM7831818,erythroid_exclusion,7,7,1.000000
GSE244889,GSM7831819,AF_support,17,17,1.000000
GSE244889,GSM7831819,NP_support,15,15,1.000000
GSE244889,GSM7831819,immune_exclusion,17,17,1.000000
GSE244889,GSM7831819,endothelial_exclusion,9,9,1.000000
GSE244889,GSM7831819,mural_exclusion,7,7,1.000000
GSE244889,GSM7831819,erythroid_exclusion,7,7,1.000000
