retained_cell_threshold,dataset,gsm,donor_id,compartment,disease_state,source_restricted_qc_passing_cells,total_umi_included_cells,threshold_pass,inference_unit
20,GSE229711,GSM7173748,SP21.015,AF,healthy,6725,101954698,true,donor/library; cells are nested observations
20,GSE229711,GSM7173749,SP21.018,AF,healthy,7577,140462883,true,donor/library; cells are nested observations
20,GSE229711,GSM7173750,SP22.001,AF,healthy,4518,83429879,true,donor/library; cells are nested observations
20,GSE229711,GSM7173751,SP21.015,NP,healthy,1650,17298631,true,donor/library; cells are nested observations
20,GSE229711,GSM7173752,SP21.018,NP,healthy,15257,142126122,true,donor/library; cells are nested observations
20,GSE229711,GSM7173753,SP22.001,NP,healthy,7070,122814612,true,donor/library; cells are nested observations
20,GSE230808,GSM7235331,SP20.002,AF,diseased,471,3166379,true,donor/library; cells are nested observations
20,GSE230808,GSM7235332,SP20.006,AF,diseased,1304,18461300,true,donor/library; cells are nested observations
20,GSE230808,GSM7235333,SP21.007,AF,diseased,5360,72099228,true,donor/library; cells are nested observations
20,GSE230808,GSM7235334,SP21.011,AF,diseased,2100,101714852,true,donor/library; cells are nested observations
20,GSE230808,GSM7235335,SP21.013,AF,diseased,3739,59809660,true,donor/library; cells are nested observations
20,GSE230808,GSM7235336,SP21.014,AF,diseased,2374,36909243,true,donor/library; cells are nested observations
20,GSE230808,GSM7235337,SP21.016,AF,diseased,481,16047082,true,donor/library; cells are nested observations
20,GSE230808,GSM7235338,SP21.017,AF,diseased,8150,12015201,true,donor/library; cells are nested observations
20,GSE230808,GSM7235339,SP22.002,AF,diseased,3442,80129456,true,donor/library; cells are nested observations
20,GSE230808,GSM7235340,SP22.003,AF,diseased,4138,90844059,true,donor/library; cells are nested observations
20,GSE230808,GSM7235341,SP21.007,NP,diseased,4154,89070698,true,donor/library; cells are nested observations
20,GSE230808,GSM7235342,SP21.011,NP,diseased,1783,102726401,true,donor/library; cells are nested observations
20,GSE230808,GSM7235343,SP21.013,NP,diseased,2122,61708790,true,donor/library; cells are nested observations
20,GSE230808,GSM7235344,SP21.014,NP,diseased,3409,74292100,true,donor/library; cells are nested observations
20,GSE230808,GSM7235345,SP21.016,NP,diseased,1376,48267263,true,donor/library; cells are nested observations
20,GSE230808,GSM7235346,SP21.017,NP,diseased,2498,45483145,true,donor/library; cells are nested observations
