retained_cell_threshold,reference_threshold,cohort_id,compartment,module_id,row_match_status,comparison_n_threshold_30,target_n_threshold_30,comparison_n_current,target_n_current,effect_threshold_30,effect_current,effect_delta_current_minus_30,effect_direction_threshold_30,effect_direction_current,effect_directions_agree,effect_status_threshold_30,effect_status_current,inference_boundary
20,30,GSE230809_discovery,AF,disc_matrix_homeostasis,both,3,10,3,10,0.61868124,0.61868124,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,AF,ecm_collagen_remodeling,both,3,10,3,10,-0.38850162,-0.38850162,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,AF,hypoxia_oxidative_stress,both,3,10,3,10,-0.00541343,-0.00541343,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,AF,inflammatory_nfkb,both,3,10,3,10,-0.00744722,-0.00744722,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,NP,disc_matrix_homeostasis,both,3,8,3,8,0.05325568,0.05325568,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,NP,ecm_collagen_remodeling,both,3,8,3,8,0.3454361,0.3454361,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,NP,hypoxia_oxidative_stress,both,3,8,3,8,0.17763445,0.17763445,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
20,30,GSE230809_discovery,NP,inflammatory_nfkb,both,3,8,3,8,-0.11092366,-0.11092366,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,AF,disc_matrix_homeostasis,both,3,10,3,10,0.61868124,0.61868124,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,AF,ecm_collagen_remodeling,both,3,10,3,10,-0.38850162,-0.38850162,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,AF,hypoxia_oxidative_stress,both,3,10,3,10,-0.00541343,-0.00541343,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,AF,inflammatory_nfkb,both,3,10,3,10,-0.00744722,-0.00744722,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,NP,disc_matrix_homeostasis,both,3,8,3,8,0.05325568,0.05325568,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,NP,ecm_collagen_remodeling,both,3,8,3,8,0.3454361,0.3454361,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,NP,hypoxia_oxidative_stress,both,3,8,3,8,0.17763445,0.17763445,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
30,30,GSE230809_discovery,NP,inflammatory_nfkb,both,3,8,3,8,-0.11092366,-0.11092366,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
50,30,GSE230809_discovery,AF,disc_matrix_homeostasis,both,3,10,3,10,0.61868124,0.61868124,0,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
50,30,GSE230809_discovery,AF,ecm_collagen_remodeling,both,3,10,3,10,-0.38850162,-0.38850162,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
50,30,GSE230809_discovery,AF,hypoxia_oxidative_stress,both,3,10,3,10,-0.00541343,-0.00541343,0,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference,available_unweighted_target_minus_comparison_mean_difference,Descriptive donor/library-level comparison; cells are not independent replicates.
