cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,comparison_label,target_label,contrast_label,severity_orientation,comparison_n,target_n,comparison_mean_module_score_log1p_cpm,target_mean_module_score_log1p_cpm,mean_difference_target_minus_comparison,effect_direction,effect_status,analytic_ci_method,analytic_ci_lower,analytic_ci_upper,analytic_standard_error,analytic_welch_df,analytic_ci_status,bootstrap_ci_method,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_status,bootstrap_replicates,bootstrap_seed,leave_one_out_total_keys,leave_one_out_available_effects,leave_one_out_nonzero_directional_effects,leave_one_out_matching_full_direction,leave_one_out_direction_retention_fraction,leave_one_out_stability_status,confirmatory_eligible,cohort_limitations,inference_boundary
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,relatively_normal,degenerated,degenerated_minus_relatively_normal,higher_severity_minus_lower_severity,8,8,4.61562426,4.56840922,-0.04721504,negative_lower_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-1.00342257,0.90899250,0.43035775,10.21182413,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.77874252,0.79710136,available_percentile_donor_bootstrap,10000,10810513092972353997,16,16,16,10,0.62500000,direction_retention_below_0.80,false,"Eight relatively-normal versus eight degenerated presumed sample/library keys. The GEO-retained dense count matrix follows contributor cell filtering; clinical source and age are confounded with disease status. External support only, not an age-independent or causal contrast.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,relatively_normal,degenerated,degenerated_minus_relatively_normal,higher_severity_minus_lower_severity,8,8,6.23076674,5.82736372,-0.40340302,negative_lower_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-1.28456153,0.47775550,0.40893491,13.34125578,available_welch_t,independent_percentile_donor_or_library_bootstrap,-1.14281819,0.35593635,available_percentile_donor_bootstrap,10000,10035503296759117981,16,16,16,16,1.00000000,direction_retained_at_or_above_0.80,false,"Eight relatively-normal versus eight degenerated presumed sample/library keys. The GEO-retained dense count matrix follows contributor cell filtering; clinical source and age are confounded with disease status. External support only, not an age-independent or causal contrast.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,relatively_normal,degenerated,degenerated_minus_relatively_normal,higher_severity_minus_lower_severity,8,8,4.92912490,5.01730299,0.08817809,positive_higher_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-0.21655572,0.39291190,0.14205411,13.97163513,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.16894301,0.35344637,available_percentile_donor_bootstrap,10000,1528756997229563001,16,16,16,16,1.00000000,direction_retained_at_or_above_0.80,false,"Eight relatively-normal versus eight degenerated presumed sample/library keys. The GEO-retained dense count matrix follows contributor cell filtering; clinical source and age are confounded with disease status. External support only, not an age-independent or causal contrast.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,relatively_normal,degenerated,degenerated_minus_relatively_normal,higher_severity_minus_lower_severity,8,8,3.54043393,4.22052703,0.68009310,positive_higher_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,0.10299213,1.25719407,0.25881239,9.94519826,available_welch_t,independent_percentile_donor_or_library_bootstrap,0.23209411,1.17188083,available_percentile_donor_bootstrap,10000,16092071903835049917,16,16,16,16,1.00000000,direction_retained_at_or_above_0.80,false,"Eight relatively-normal versus eight degenerated presumed sample/library keys. The GEO-retained dense count matrix follows contributor cell filtering; clinical source and age are confounded with disease status. External support only, not an age-independent or causal contrast.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,disc_matrix_homeostasis,mild,severe,severe_minus_mild,higher_severity_minus_lower_severity,4,4,3.98945127,4.75190189,0.76245062,positive_higher_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-1.20042605,2.72532729,0.67500345,3.58489213,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.36660838,1.88538054,available_percentile_donor_bootstrap,10000,5868978903994410820,8,8,8,8,1.00000000,direction_retained_at_or_above_0.80,false,"Four mild versus four severe presumed sample keys, with severity assigned from the source-publication grouping because GEO and source-publication grades differ. GEO describes supplied values as normalized counts; this cohort supports only score-level direction and leave-one-key-out stability, not raw-count, cell-level, confirmatory, causal, or age-adjusted inference.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,ecm_collagen_remodeling,mild,severe,severe_minus_mild,higher_severity_minus_lower_severity,4,4,4.71507373,6.39348001,1.67840629,positive_higher_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-1.23185620,4.58866878,0.98006494,3.42702360,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.05904520,3.24562899,available_percentile_donor_bootstrap,10000,7247435287446707289,8,8,8,8,1.00000000,direction_retained_at_or_above_0.80,false,"Four mild versus four severe presumed sample keys, with severity assigned from the source-publication grouping because GEO and source-publication grades differ. GEO describes supplied values as normalized counts; this cohort supports only score-level direction and leave-one-key-out stability, not raw-count, cell-level, confirmatory, causal, or age-adjusted inference.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,hypoxia_oxidative_stress,mild,severe,severe_minus_mild,higher_severity_minus_lower_severity,4,4,4.63582420,5.07041681,0.43459260,positive_higher_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-0.06186006,0.93104526,0.18514894,4.39211258,available_welch_t,independent_percentile_donor_or_library_bootstrap,0.11778844,0.74047282,available_percentile_donor_bootstrap,10000,12656133854885452024,8,8,8,8,1.00000000,direction_retained_at_or_above_0.80,false,"Four mild versus four severe presumed sample keys, with severity assigned from the source-publication grouping because GEO and source-publication grades differ. GEO describes supplied values as normalized counts; this cohort supports only score-level direction and leave-one-key-out stability, not raw-count, cell-level, confirmatory, causal, or age-adjusted inference.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,inflammatory_nfkb,mild,severe,severe_minus_mild,higher_severity_minus_lower_severity,4,4,4.54341931,4.52640076,-0.01701855,negative_lower_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-0.91717851,0.88314142,0.35776029,5.38637793,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.62216779,0.57943342,available_percentile_donor_bootstrap,10000,3322943619127091419,8,8,8,4,0.50000000,direction_retention_below_0.80,false,"Four mild versus four severe presumed sample keys, with severity assigned from the source-publication grouping because GEO and source-publication grades differ. GEO describes supplied values as normalized counts; this cohort supports only score-level direction and leave-one-key-out stability, not raw-count, cell-level, confirmatory, causal, or age-adjusted inference.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,disc_matrix_homeostasis,healthy_low_grade,advanced_degeneration_associated,advanced_degeneration_associated_minus_healthy_low_grade,higher_severity_minus_lower_severity,3,10,2.33123559,2.94991683,0.61868124,positive_higher_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-0.32387011,1.56123258,0.40650138,7.75602460,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.07495608,1.36626190,available_percentile_donor_bootstrap,10000,9831210821719315014,13,13,13,13,1.00000000,direction_retained_at_or_above_0.80,false,"One parent project; age and disease status are fully confounded, and the healthy group has n=3 per compartment. Exploratory effect-size and stability display only.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,ecm_collagen_remodeling,healthy_low_grade,advanced_degeneration_associated,advanced_degeneration_associated_minus_healthy_low_grade,higher_severity_minus_lower_severity,3,10,5.24876010,4.86025848,-0.38850162,negative_lower_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-0.95611805,0.17911481,0.25692940,10.67336155,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.88190121,0.03061180,available_percentile_donor_bootstrap,10000,2127152777455382721,13,13,13,13,1.00000000,direction_retained_at_or_above_0.80,false,"One parent project; age and disease status are fully confounded, and the healthy group has n=3 per compartment. Exploratory effect-size and stability display only.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
GSE230809_discovery,exploratory_discovery_parent_project,exploratory_effect_size_and_stability_only,donor_id,AF,hypoxia_oxidative_stress,healthy_low_grade,advanced_degeneration_associated,advanced_degeneration_associated_minus_healthy_low_grade,higher_severity_minus_lower_severity,3,10,5.03509832,5.02968489,-0.00541343,negative_lower_target_severity,available_unweighted_target_minus_comparison_mean_difference,Welch_t_interval_for_unweighted_donor_or_library_mean_difference,-0.43581562,0.42498876,0.12374505,2.60005045,available_welch_t,independent_percentile_donor_or_library_bootstrap,-0.22561817,0.16534104,available_percentile_donor_bootstrap,10000,4717711339435214798,13,13,13,8,0.61538462,direction_retention_below_0.80,false,"One parent project; age and disease status are fully confounded, and the healthy group has n=3 per compartment. Exploratory effect-size and stability display only.","Descriptive donor/library-level effect only; no cell-level test, p-value, causal, age-independent, or therapeutic interpretation."
