cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,severity_orientation,contrast_label,severity_group,contrast_arm,n_donor_or_library_keys,mean_module_score_log1p_cpm,sd_module_score_log1p_cpm,median_module_score_log1p_cpm,min_module_score_log1p_cpm,max_module_score_log1p_cpm,mean_ci_lower,mean_ci_upper,mean_ci_status,median_included_cells,min_included_cells,max_included_cells,median_total_umi_included_cells,analysis_note
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,degenerated,target,8,4.56840922,0.53816084,4.44123928,3.91946516,5.35372348,4.11849550,5.01832294,available_t,5240.500,3576.000,6260.000,10206770.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,relatively_normal,comparison,8,4.61562426,1.09180826,4.80082782,2.36202602,5.80560565,3.70284971,5.52839880,available_t,5345.500,1750.000,9976.000,12845470.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,degenerated,target,8,5.82736372,0.90418391,5.82130590,4.51009887,7.04755160,5.07144706,6.58328039,available_t,5240.500,3576.000,6260.000,10206770.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,relatively_normal,comparison,8,6.23076674,0.72129989,6.33754765,5.02319779,7.12047545,5.62774495,6.83378854,available_t,5345.500,1750.000,9976.000,12845470.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,degenerated,target,8,5.01730299,0.27763385,4.90912650,4.71777496,5.41442597,4.78519528,5.24941070,available_t,5240.500,3576.000,6260.000,10206770.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,relatively_normal,comparison,8,4.92912490,0.29043830,4.93184335,4.46102304,5.36329229,4.68631240,5.17193740,available_t,5345.500,1750.000,9976.000,12845470.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,degenerated,target,8,4.22052703,0.31121035,4.20862652,3.68700404,4.70169031,3.96034866,4.48070540,available_t,5240.500,3576.000,6260.000,10206770.500,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,degenerated_minus_relatively_normal,relatively_normal,comparison,8,3.54043393,0.66258506,3.72549277,2.45798859,4.23316085,2.98649896,4.09436890,available_t,5345.500,1750.000,9976.000,12845470.000,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,severe_minus_mild,mild,comparison,4,3.98945127,1.28810274,4.02591852,2.37717342,5.52879463,1.93979237,6.03911018,available_t,5949.000,5073.000,6194.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,severe_minus_mild,severe,target,4,4.75190189,0.40411625,4.85761829,4.17531090,5.11706010,4.10886276,5.39494103,available_t,6724.500,5957.000,7066.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,severe_minus_mild,mild,comparison,4,4.71507373,1.89357151,4.49549271,2.72817182,7.14113767,1.70197890,7.72816856,available_t,5949.000,5073.000,6194.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,severe_minus_mild,severe,target,4,6.39348001,0.50645444,6.43303484,5.80185428,6.90599610,5.58759799,7.19936204,available_t,6724.500,5957.000,7066.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,severe_minus_mild,mild,comparison,4,4.63582420,0.33172674,4.63197495,4.25882876,5.02051816,4.10797294,5.16367547,available_t,5949.000,5073.000,6194.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,severe_minus_mild,severe,target,4,5.07041681,0.16455361,5.05908105,4.88085667,5.28264846,4.80857529,5.33225833,available_t,6724.500,5957.000,7066.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,severe_minus_mild,mild,comparison,4,4.54341931,0.58513705,4.42534553,4.03533578,5.28765039,3.61233570,5.47450292,available_t,5949.000,5073.000,6194.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE165722_score_level,external_normalized_count_score_level_direction_only,score_level_direction_and_stability_only,presumed_donor_level_sample_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,severe_minus_mild,severe,target,4,4.52640076,0.41180618,4.37181968,4.23919273,5.12277097,3.87112523,5.18167629,available_t,6724.500,5957.000,7066.000,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,degenerated_minus_normal,degenerated,target,5,1.78926707,0.69644741,1.84608102,0.69790300,2.60137902,0.92451339,2.65402075,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,disc_matrix_homeostasis,higher_severity_minus_lower_severity,degenerated_minus_normal,normal,comparison,4,0.78604242,0.09824347,0.83282126,0.63876266,0.83976450,0.62971513,0.94236971,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,degenerated_minus_normal,degenerated,target,5,1.90733625,0.80103058,2.00571948,0.73893081,2.98466495,0.91272543,2.90194708,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,ecm_collagen_remodeling,higher_severity_minus_lower_severity,degenerated_minus_normal,normal,comparison,4,1.52732253,0.74429390,1.25443063,0.97475041,2.62567843,0.34298484,2.71166021,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,degenerated_minus_normal,degenerated,target,5,1.47277320,0.53419946,1.48859775,0.81992746,2.00425541,0.80947695,2.13606944,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,hypoxia_oxidative_stress,higher_severity_minus_lower_severity,degenerated_minus_normal,normal,comparison,4,0.86700681,0.49429461,0.93681338,0.20124850,1.39315197,0.08047378,1.65353984,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,degenerated_minus_normal,degenerated,target,5,1.30636541,0.70285513,1.74102600,0.49873312,1.93221178,0.43365549,2.17907532,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
GSE167931_external_fpkm_support,post_hoc_external_human_np_processed_score_support,post_hoc_external_score_level_support_only,GSM_as_presumed_donor_or_sample_key,NP,inflammatory_nfkb,higher_severity_minus_lower_severity,degenerated_minus_normal,normal,comparison,4,0.78996836,0.31606213,0.84544904,0.35545102,1.11352434,0.28704298,1.29289374,available_t,,,,,Scores are unweighted donor/library observations; nested cells are not treated as replicates.
