dataset,gsm,sample_title,selected_for_meta_analysis,selection_reason,source_disease_state,tissue
GSE245147,GSM7837568,Degenerated nucleus pulposus cells #1 for RNA-seq,true,native_Degenerated_vs_NO_Degenerated_clinical_comparison,,Degenerated nucleus pulposus tissue
GSE245147,GSM7837569,Degenerated nucleus pulposus cells #2 for RNA-seq,true,native_Degenerated_vs_NO_Degenerated_clinical_comparison,,Degenerated nucleus pulposus tissue
GSE245147,GSM7837570,Degenerated nucleus pulposus cells #3 for RNA-seq,true,native_Degenerated_vs_NO_Degenerated_clinical_comparison,,Degenerated nucleus pulposus tissue
GSE245147,GSM7837571,No-degenerated nucleus pulposus cells #1 for RNA-seq,true,native_Degenerated_vs_NO_Degenerated_clinical_comparison,,No-degenerated nucleus pulposus tissue
GSE245147,GSM7837572,No-degenerated nucleus pulposus cells #2 for RNA-seq,true,native_Degenerated_vs_NO_Degenerated_clinical_comparison,,No-degenerated nucleus pulposus tissue
GSE245147,GSM7837573,No-degenerated nucleus pulposus cells #3 for RNA-seq,true,native_Degenerated_vs_NO_Degenerated_clinical_comparison,,No-degenerated nucleus pulposus tissue
GSE245147,GSM7837574,P8 nucleus pulposus cells #1 for RNA-seq,false,excluded_passage_arm_P2_or_P8,,Nucleus pulposus tissue
GSE245147,GSM7837575,P8 nucleus pulposus cells #2 for RNA-seq,false,excluded_passage_arm_P2_or_P8,,Nucleus pulposus tissue
GSE245147,GSM7837576,P8 nucleus pulposus cells #3 for RNA-seq,false,excluded_passage_arm_P2_or_P8,,Nucleus pulposus tissue
GSE245147,GSM7837577,P2 nucleus pulposus cells #1 for RNA-seq,false,excluded_passage_arm_P2_or_P8,,Nucleus pulposus tissue
GSE245147,GSM7837578,P2 nucleus pulposus cells #2 for RNA-seq,false,excluded_passage_arm_P2_or_P8,,Nucleus pulposus tissue
GSE245147,GSM7837579,P2 nucleus pulposus cells #3 for RNA-seq,false,excluded_passage_arm_P2_or_P8,,Nucleus pulposus tissue
GSE245147,GSM7837580,P8 nucleus pulposus cells treated with DMSO #1 for RNA-seq,false,excluded_treatment_arm_DMSO_or_H-151,,Nucleus pulposus tissue
GSE245147,GSM7837581,P8 nucleus pulposus cells treated with DMSO #2 for RNA-seq,false,excluded_treatment_arm_DMSO_or_H-151,,Nucleus pulposus tissue
GSE245147,GSM7837582,P8 nucleus pulposus cells treated with DMSO #3 for RNA-seq,false,excluded_treatment_arm_DMSO_or_H-151,,Nucleus pulposus tissue
GSE245147,GSM7837583,P8 nucleus pulposus cells treated with H-151 #1 for RNA-seq,false,excluded_treatment_arm_DMSO_or_H-151,,Nucleus pulposus tissue
GSE245147,GSM7837584,P8 nucleus pulposus cells treated with H-151 #2 for RNA-seq,false,excluded_treatment_arm_DMSO_or_H-151,,Nucleus pulposus tissue
GSE245147,GSM7837585,P8 nucleus pulposus cells treated with H-151 #3 for RNA-seq,false,excluded_treatment_arm_DMSO_or_H-151,,Nucleus pulposus tissue
