gsm,member,member_bytes,feature_rows,unique_probe_ids,platform_probe_ids_intersection,unmapped_probe_ids,feature_table_status
GSM1354764,GSM1354764_CS_1_raw_data.txt.gz,3061948,62738,60755,60755,0,pass
GSM1354765,GSM1354765_CS_2_raw_data.txt.gz,2843456,62738,60755,60755,0,pass
GSM1354766,GSM1354766_CS_3_raw_data.txt.gz,3021471,62738,60755,60755,0,pass
GSM1354767,GSM1354767_CS_4_raw_data.txt.gz,3003926,62738,60755,60755,0,pass
GSM1354768,GSM1354768_CS_5_raw_data.txt.gz,3030212,62738,60755,60755,0,pass
GSM1354769,GSM1354769_DS_1_raw_data.txt.gz,3038778,62738,60755,60755,0,pass
GSM1354770,GSM1354770_DS_2_raw_data.txt.gz,3031270,62738,60755,60755,0,pass
GSM1354771,GSM1354771_DS_3_raw_data.txt.gz,3069790,62738,60755,60755,0,pass
GSM1354772,GSM1354772_DS_4_raw_data.txt.gz,3036142,62738,60755,60755,0,pass
GSM1354773,GSM1354773_DS_5_raw_data.txt.gz,3044226,62738,60755,60755,0,pass
