source_file,record_id,gene_id,gene_symbol,pattern_id,probe_id,gene,orientation,start_0based,end_0based_inclusive
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000379749.8,ENSG00000133110,POSTN,42,ASHG19A3A049458,POSTN,platform_forward_in_reference,2064,2123
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000379747.9,ENSG00000133110,POSTN,42,ASHG19A3A049458,POSTN,platform_forward_in_reference,2071,2130
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000379747.9,ENSG00000133110,POSTN,40,ASHG19A3A004505,POSTN,platform_forward_in_reference,2438,2497
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000379743.8,ENSG00000133110,POSTN,40,ASHG19A3A004505,POSTN,platform_forward_in_reference,2339,2398
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000379742.4,ENSG00000133110,POSTN,40,ASHG19A3A004505,POSTN,platform_forward_in_reference,2257,2316
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000541481.5,ENSG00000133110,POSTN,40,ASHG19A3A004505,POSTN,platform_forward_in_reference,2253,2312
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000284987.6,ENSG00000154736,ADAMTS5,2,ASHG19A3A018713,ADAMTS5,platform_forward_in_reference,2621,2680
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000652031.1,ENSG00000154736,ADAMTS5,2,ASHG19A3A018713,ADAMTS5,platform_forward_in_reference,1250,1309
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000672996.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,699,758
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000672405.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,872,931
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000672417.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,480,539
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000672754.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,754,813
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000673007.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,1143,1202
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000673204.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,1131,1190
Homo_sapiens.GRCh38.cdna.all.fa.gz,ENST00000671981.1,ENSG00000288299,LDHA,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,1063,1122
