dataset,input_kind,path,bytes,sha256
GSE186542,matrix,data/raw/geo_candidates/GSE186542/GSE186542_gene_expression.txt.gz,2308801,6bc5f65815d5cf6814075359941fb76c3f4dabfd04fd007d897ac7da8bb9d6d0
GSE186542,soft,data/raw/geo_candidates/GSE186542/GSE186542_family.soft.gz,2539,4d5a3e8ce9b3f3f1f2a4a7028a2d03549014da6d6f0fe799798a3298c19c6dbd
GSE186542,series,data/raw/geo_candidates/GSE186542/GSE186542_series_matrix.txt.gz,2396,48ef8ca353620aba8d440fb6f0468cb41095617a17f233c0f46f55e99b2dd280
GSE186542,ledger,data/derived/geo_candidate_audit/GSE186542_sample_ledger.csv,5695,2c89ee8072aba8fca5c6c9c713940c4ef09c772facfbe25bf26d567fdbe5d656
GSE167931,tpm,data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesTPMValue.txt.gz,1272723,91bff01e37af8f8ae147eaed12160207d2ded60a307f8c065d4a699abb8faf03
GSE167931,fpkm,data/raw/geo_candidates/GSE167931/GSE167931_AllSamplesFPKMValue.txt.gz,1355310,0aaf28897bf474c753af1ca99522bf3b40816645aa88d6f03aba22c0ad18b159
GSE167931,soft,data/raw/geo_candidates/GSE167931/GSE167931_family.soft.gz,2765,d1f5c0f1dbd67f5b6671a9d5dba2780fab35d0017d252dcfb703bcb080e7bb91
GSE167931,series,data/raw/geo_candidates/GSE167931/GSE167931_series_matrix.txt.gz,2571,90574f2bf67aeb0c35cb68a9062b30debcc3ed148a55283b97d5bad3962eb269
GSE167931,ledger,data/derived/geo_candidate_audit/GSE167931_sample_ledger.csv,8423,9a416930f86476d502809a29eec7bf8b992cac5d17d13633d6408215ac439d9b
GSE56081,matrix,data/raw/geo_candidates/GSE56081/GSE56081_series_matrix.txt.gz,1318723,8d4b9309b01e9073d7131c3363dcd3c5fcbd4b6f52fcc7fc587b2b95c8537025
GSE56081,soft,data/raw/geo_candidates/GSE56081/GSE56081_family.soft.gz,3934805,851c5d34891098298f86b267825c4d19689ca83fb4515f1e5e815a02820d0508
GSE56081,ledger,data/derived/geo_candidate_audit/GSE56081_sample_ledger.csv,8040,dbc5dd8bef29b14f2d9f8923165d9db6716e9917d635c697d2f4f6e49851bea8
