dataset,module_id,configured_genes,mapped_genes,mapped_fraction,mapping_status,mapping_pass_at_0_80,mapped_gene_symbols,missing_gene_symbols,annotation_method
GSE186542,ecm_collagen_remodeling,24,24,1.000000,evaluated,true,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,,Exact uppercase match to supplementary gene_name column
GSE186542,inflammatory_nfkb,21,21,1.000000,evaluated,true,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,,Exact uppercase match to supplementary gene_name column
GSE186542,hypoxia_oxidative_stress,18,18,1.000000,evaluated,true,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,,Exact uppercase match to supplementary gene_name column
GSE186542,disc_matrix_homeostasis,15,15,1.000000,evaluated,true,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,,Exact uppercase match to supplementary gene_name column
GSE167931,ecm_collagen_remodeling,24,24,1.000000,evaluated,true,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,,Exact uppercase match to symbol parsed from ENSG...(SYMBOL) GeneID
GSE167931,inflammatory_nfkb,21,21,1.000000,evaluated,true,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,,Exact uppercase match to symbol parsed from ENSG...(SYMBOL) GeneID
GSE167931,hypoxia_oxidative_stress,18,18,1.000000,evaluated,true,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,,Exact uppercase match to symbol parsed from ENSG...(SYMBOL) GeneID
GSE167931,disc_matrix_homeostasis,15,15,1.000000,evaluated,true,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,,Exact uppercase match to symbol parsed from ENSG...(SYMBOL) GeneID
GSE56081,ecm_collagen_remodeling,24,,,unresolved_platform_annotation,,,ADAMTS4;ADAMTS5;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DCN;FN1;LOX;LOXL2;LUM;MMP2;MMP3;MMP9;MMP13;POSTN;SPARC;TIMP1;TIMP2;TNC,Not attempted: local GPL15314 table exposes custom probe IDs and blank ENSEMBL_ID/ACCESSION_STRING fields for the inspected rows
GSE56081,inflammatory_nfkb,21,,,unresolved_platform_annotation,,,CCL2;CCL5;CXCL8;FOS;IKBKB;IKBKG;IL1B;IL6;JUN;NFKB1;NFKB2;NFKBIA;NLRP3;RELA;RELB;STAT3;TICAM1;TLR2;TLR4;TNF;TNFRSF1A,Not attempted: local GPL15314 table exposes custom probe IDs and blank ENSEMBL_ID/ACCESSION_STRING fields for the inspected rows
GSE56081,hypoxia_oxidative_stress,18,,,unresolved_platform_annotation,,,BNIP3;CA9;EGLN1;EPAS1;GCLM;GPX1;HIF1A;HMOX1;LDHA;NFE2L2;NQO1;PDK1;PRDX1;SLC2A1;SOD1;SOD2;TXN;VEGFA,Not attempted: local GPL15314 table exposes custom probe IDs and blank ENSEMBL_ID/ACCESSION_STRING fields for the inspected rows
GSE56081,disc_matrix_homeostasis,15,,,unresolved_platform_annotation,,,ACAN;B3GAT1;BGN;CILP;COL2A1;COL9A1;COL9A2;COL9A3;COMP;FMOD;HAPLN1;HAS2;KRT19;MATN3;SOX9,Not attempted: local GPL15314 table exposes custom probe IDs and blank ENSEMBL_ID/ACCESSION_STRING fields for the inspected rows
