dataset,matrix_file,gsm,sample_title,matrix_column,comparison_group,tissue,recorded_disease_state,recorded_grade,contrast_interpretation,mapping_rule,mapping_status,identity_unit
GSE186542,GSE186542_gene_expression.txt.gz,GSM5655437,NP_control_1,NP_control_1_count,early_stage_Pfirrmann_I_to_III,Nucleus pulposus,control,,advanced-stage minus early-stage degeneration; series design is the authority for Pfirrmann bands,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE186542,GSE186542_gene_expression.txt.gz,GSM5655438,NP_control_2,NP_control_2_count,early_stage_Pfirrmann_I_to_III,Nucleus pulposus,control,,advanced-stage minus early-stage degeneration; series design is the authority for Pfirrmann bands,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE186542,GSE186542_gene_expression.txt.gz,GSM5655439,NP_control_3,NP_control_3_count,early_stage_Pfirrmann_I_to_III,Nucleus pulposus,control,,advanced-stage minus early-stage degeneration; series design is the authority for Pfirrmann bands,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE186542,GSE186542_gene_expression.txt.gz,GSM5655440,NP_degenerated_1,NP_degenerated_1_count,advanced_stage_Pfirrmann_IV_to_V,Nucleus pulposus,degenerated,,advanced-stage minus early-stage degeneration; series design is the authority for Pfirrmann bands,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE186542,GSE186542_gene_expression.txt.gz,GSM5655441,NP_degenerated_2,NP_degenerated_2_count,advanced_stage_Pfirrmann_IV_to_V,Nucleus pulposus,degenerated,,advanced-stage minus early-stage degeneration; series design is the authority for Pfirrmann bands,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE186542,GSE186542_gene_expression.txt.gz,GSM5655442,NP_degenerated_3,NP_degenerated_3_count,advanced_stage_Pfirrmann_IV_to_V,Nucleus pulposus,degenerated,,advanced-stage minus early-stage degeneration; series design is the authority for Pfirrmann bands,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115822,NP-C-3,NP_C_3,normal,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115823,NP-C-4,NP_C_4,normal,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115824,NP-C-7,NP_C_7,normal,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115825,NP-C-8,NP_C_8,normal,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115826,NP-E-1,NP_E_1,degenerated,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115827,NP-E-2,NP_E_2,degenerated,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115828,NP-E-3,NP_E_3,degenerated,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
GSE167931,GSE167931_AllSamplesTPMValue.txt.gz,GSM5115829,NP-E-4,NP_E_4,degenerated,,,,degenerated NP cells minus normal NP cells,Exact header-to-ledger mapping after documented title normalization,pass,GSM/sample key; no patient identifier exposed in GEO metadata
