cohort_id,dataset,gsm,matrix_column,sample_title,disease_state,contrast_arm,identity_status,public_person_level_metadata
GSE186542_external_count_support,GSE186542,GSM5655437,NP_control_1_count,NP_control_1,early_control,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE186542_external_count_support,GSE186542,GSM5655438,NP_control_2_count,NP_control_2,early_control,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE186542_external_count_support,GSE186542,GSM5655439,NP_control_3_count,NP_control_3,early_control,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE186542_external_count_support,GSE186542,GSM5655440,NP_degenerated_1_count,NP_degenerated_1,advanced_degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE186542_external_count_support,GSE186542,GSM5655441,NP_degenerated_2_count,NP_degenerated_2,advanced_degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE186542_external_count_support,GSE186542,GSM5655442,NP_degenerated_3_count,NP_degenerated_3,advanced_degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115822,NP_C_3,NP-C-3,normal,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115823,NP_C_4,NP-C-4,normal,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115824,NP_C_7,NP-C-7,normal,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115825,NP_C_8,NP-C-8,normal,comparison,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115826,NP_E_1,NP-E-1,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115827,NP_E_2,NP-E-2,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115828,NP_E_3,NP-E-3,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115829,NP_E_4,NP-E-4,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE167931_external_fpkm_support,GSE167931,GSM5115830,NP_E_5,NP-E-5,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE245147_external_native_comparison_support,GSE245147,GSM7837568,Degenerated_1,Degenerated nucleus pulposus cells #1 for RNA-seq,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE245147_external_native_comparison_support,GSE245147,GSM7837569,Degenerated_2,Degenerated nucleus pulposus cells #2 for RNA-seq,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE245147_external_native_comparison_support,GSE245147,GSM7837570,Degenerated_3,Degenerated nucleus pulposus cells #3 for RNA-seq,degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE245147_external_native_comparison_support,GSE245147,GSM7837571,NO_Degenerated_1,No-degenerated nucleus pulposus cells #1 for RNA-seq,no_degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
GSE245147_external_native_comparison_support,GSE245147,GSM7837572,NO_Degenerated_2,No-degenerated nucleus pulposus cells #2 for RNA-seq,no_degenerated,target,pass_exact_predeclared_matrix_column_to_GSM,not reported in GEO sample characteristics; GSM remains a presumed donor/sample key
