dataset,gsm,donor_id,library_id,compartment,disease_state,included_cells,total_umi_included_cells,matrix_status,prior_processing_note
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,6775,19458254.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633741,CTL2,CTL2,NP,relatively normal,5114,16316398.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633742,CTL3,CTL3,NP,relatively normal,3769,10884552.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633743,CTL4,CTL4,NP,relatively normal,6121,12203508.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633744,CTL5,CTL5,NP,relatively normal,9976,13910474.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633745,CTL6,CTL6,NP,relatively normal,4309,6062067.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633746,CTL7,CTL7,NP,relatively normal,1750,3843445.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633747,CTL8,CTL8,NP,relatively normal,5577,13487432.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633748,IDD1,IDD1,NP,degenerated,4998,2340762.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633749,IDD2,IDD2,NP,degenerated,3576,5793697.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633750,IDD3,IDD3,NP,degenerated,6260,9106651.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633751,IDD4,IDD4,NP,degenerated,5772,11306890.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633752,IDD5,IDD5,NP,degenerated,5026,7149106.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633753,IDD6,IDD6,NP,degenerated,4976,17483089.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633754,IDD7,IDD7,NP,degenerated,5751,13630422.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
GSE153066,GSM4633755,IDD8,IDD8,NP,degenerated,5455,11670714.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,GEO-retained sample-prefixed matrix; prior cell filtering disclosed in ledger
