dataset,gsm,donor_id,library_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,ADAMTS4,1,67.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,ADAMTS5,1,133.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL1A1,1,237435.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL1A2,1,148743.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL3A1,1,79996.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL5A1,1,11197.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL5A2,1,12572.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL6A1,1,27414.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL6A2,1,14989.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,COL6A3,1,20361.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,DCN,1,16190.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,FN1,1,48271.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,LOX,1,3475.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,LOXL2,1,5892.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,LUM,1,5737.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,MMP2,1,4007.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,MMP3,1,1148.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,MMP9,1,3309.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,MMP13,1,732.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,POSTN,1,6468.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,SPARC,1,65177.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,TIMP1,1,12074.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,TIMP2,1,3083.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,TNC,1,2850.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,inflammatory_nfkb,CCL2,1,1600.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,inflammatory_nfkb,CCL5,1,1607.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,inflammatory_nfkb,CXCL8,1,32258.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,inflammatory_nfkb,FOS,1,12878.0,19458254.0
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,inflammatory_nfkb,IKBKB,1,254.0,19458254.0
