dataset,gsm,donor_id,library_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,ecm_collagen_remodeling,5.98710516,score_available,1.000000,6775,19458254.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,inflammatory_nfkb,4.10956348,score_available,1.000000,6775,19458254.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,hypoxia_oxidative_stress,4.88904589,score_available,1.000000,6775,19458254.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633740,CTL1,CTL1,NP,relatively normal,disc_matrix_homeostasis,2.36202602,score_available,1.000000,6775,19458254.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633741,CTL2,CTL2,NP,relatively normal,ecm_collagen_remodeling,7.12047545,score_available,1.000000,5114,16316398.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633741,CTL2,CTL2,NP,relatively normal,inflammatory_nfkb,4.04124944,score_available,1.000000,5114,16316398.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633741,CTL2,CTL2,NP,relatively normal,hypoxia_oxidative_stress,5.21632581,score_available,1.000000,5114,16316398.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633741,CTL2,CTL2,NP,relatively normal,disc_matrix_homeostasis,5.29318106,score_available,1.000000,5114,16316398.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633742,CTL3,CTL3,NP,relatively normal,ecm_collagen_remodeling,6.56188848,score_available,1.000000,3769,10884552.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633742,CTL3,CTL3,NP,relatively normal,inflammatory_nfkb,3.27865981,score_available,1.000000,3769,10884552.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633742,CTL3,CTL3,NP,relatively normal,hypoxia_oxidative_stress,4.87905465,score_available,1.000000,3769,10884552.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633742,CTL3,CTL3,NP,relatively normal,disc_matrix_homeostasis,5.80560565,score_available,1.000000,3769,10884552.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633743,CTL4,CTL4,NP,relatively normal,ecm_collagen_remodeling,5.02319779,score_available,1.000000,6121,12203508.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633743,CTL4,CTL4,NP,relatively normal,inflammatory_nfkb,2.45798859,score_available,1.000000,6121,12203508.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633743,CTL4,CTL4,NP,relatively normal,hypoxia_oxidative_stress,4.46102304,score_available,1.000000,6121,12203508.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633743,CTL4,CTL4,NP,relatively normal,disc_matrix_homeostasis,4.48472166,score_available,1.000000,6121,12203508.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633744,CTL5,CTL5,NP,relatively normal,ecm_collagen_remodeling,6.11320682,score_available,1.000000,9976,13910474.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633744,CTL5,CTL5,NP,relatively normal,inflammatory_nfkb,3.51574597,score_available,1.000000,9976,13910474.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633744,CTL5,CTL5,NP,relatively normal,hypoxia_oxidative_stress,5.36329229,score_available,1.000000,9976,13910474.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633744,CTL5,CTL5,NP,relatively normal,disc_matrix_homeostasis,4.71544629,score_available,1.000000,9976,13910474.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633745,CTL6,CTL6,NP,relatively normal,ecm_collagen_remodeling,5.46911245,score_available,1.000000,4309,6062067.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633745,CTL6,CTL6,NP,relatively normal,inflammatory_nfkb,2.75186375,score_available,1.000000,4309,6062067.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633745,CTL6,CTL6,NP,relatively normal,hypoxia_oxidative_stress,4.97464080,score_available,1.000000,4309,6062067.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633745,CTL6,CTL6,NP,relatively normal,disc_matrix_homeostasis,5.48871993,score_available,1.000000,4309,6062067.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633746,CTL7,CTL7,NP,relatively normal,ecm_collagen_remodeling,6.86784849,score_available,1.000000,1750,3843445.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633746,CTL7,CTL7,NP,relatively normal,inflammatory_nfkb,4.23316085,score_available,1.000000,1750,3843445.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
