dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,ADAMTS4,1,10.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,ADAMTS5,1,12.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL1A1,1,323.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL1A2,1,3132.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL3A1,1,2406.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL5A1,1,1070.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL5A2,1,1241.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL6A1,1,1787.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL6A2,1,1231.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,COL6A3,1,713.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,DCN,1,58382.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,FN1,1,50627.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,LOX,1,608.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,LOXL2,1,536.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,LUM,1,18824.00000000,27097183.00000000
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,MMP2,1,27.00000000,27097183.00000000
