dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_supplied_value,matrix_status,analysis_role
GSE165722,GSM5048708,Sample1,NP,mild,ecm_collagen_remodeling,3.85251444,score_available,0.958333,6194,27097183.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048708,Sample1,NP,mild,inflammatory_nfkb,4.11936802,score_available,1.000000,6194,27097183.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048708,Sample1,NP,mild,hypoxia_oxidative_stress,4.49058321,score_available,1.000000,6194,27097183.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048708,Sample1,NP,mild,disc_matrix_homeostasis,4.08045489,score_available,1.000000,6194,27097183.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,7.14113767,score_available,1.000000,5835,31860111.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,4.03533578,score_available,0.952381,5835,31860111.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,5.02051816,score_available,1.000000,5835,31860111.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,5.52879463,score_available,0.866667,5835,31860111.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,5.13847098,score_available,1.000000,6063,8815975.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,5.28765039,score_available,0.952381,6063,8815975.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,4.77336669,score_available,1.000000,6063,8815975.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048710,Sample3,NP,mild,disc_matrix_homeostasis,3.97138216,score_available,1.000000,6063,8815975.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048711,Sample4,NP,mild,ecm_collagen_remodeling,2.72817182,score_available,0.875000,5073,10531021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048711,Sample4,NP,mild,inflammatory_nfkb,4.73132305,score_available,0.952381,5073,10531021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048711,Sample4,NP,mild,hypoxia_oxidative_stress,4.25882876,score_available,1.000000,5073,10531021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048711,Sample4,NP,mild,disc_matrix_homeostasis,2.37717342,score_available,0.933333,5073,10531021.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048712,Sample5,NP,severe,ecm_collagen_remodeling,5.80185428,score_available,1.000000,7066,17531640.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048712,Sample5,NP,severe,inflammatory_nfkb,4.47862906,score_available,0.952381,7066,17531640.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048712,Sample5,NP,severe,hypoxia_oxidative_stress,5.05825742,score_available,1.000000,7066,17531640.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048712,Sample5,NP,severe,disc_matrix_homeostasis,4.88745304,score_available,0.933333,7066,17531640.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
GSE165722,GSM5048713,Sample6,NP,severe,ecm_collagen_remodeling,6.71022194,score_available,1.000000,6614,25356335.00000000,integer count-like; GEO calls supplementary values normalized counts,processed-matrix donor-level score direction only; all supplied cells nested within the presumed sample key; no raw-count or cell-level inference
