dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role,source_value_scale,score_formula,matrix_column
GSE167931,GSM5115822,GSM5115822,NP,normal,ecm_collagen_remodeling,2.62567843,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_3
GSE167931,GSM5115823,GSM5115823,NP,normal,ecm_collagen_remodeling,1.27951655,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_4
GSE167931,GSM5115824,GSM5115824,NP,normal,ecm_collagen_remodeling,1.22934471,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_7
GSE167931,GSM5115825,GSM5115825,NP,normal,ecm_collagen_remodeling,0.97475041,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_8
GSE167931,GSM5115826,GSM5115826,NP,degenerated,ecm_collagen_remodeling,2.98466495,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_1
GSE167931,GSM5115827,GSM5115827,NP,degenerated,ecm_collagen_remodeling,2.02835375,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_2
GSE167931,GSM5115828,GSM5115828,NP,degenerated,ecm_collagen_remodeling,2.00571948,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_3
GSE167931,GSM5115829,GSM5115829,NP,degenerated,ecm_collagen_remodeling,1.77901228,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_4
GSE167931,GSM5115830,GSM5115830,NP,degenerated,ecm_collagen_remodeling,0.73893081,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_5
GSE167931,GSM5115822,GSM5115822,NP,normal,inflammatory_nfkb,0.84968043,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_3
GSE167931,GSM5115823,GSM5115823,NP,normal,inflammatory_nfkb,0.84121765,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_4
GSE167931,GSM5115824,GSM5115824,NP,normal,inflammatory_nfkb,1.11352434,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_7
GSE167931,GSM5115825,GSM5115825,NP,normal,inflammatory_nfkb,0.35545102,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_8
GSE167931,GSM5115826,GSM5115826,NP,degenerated,inflammatory_nfkb,1.93221178,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_1
GSE167931,GSM5115827,GSM5115827,NP,degenerated,inflammatory_nfkb,1.77623551,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_2
GSE167931,GSM5115828,GSM5115828,NP,degenerated,inflammatory_nfkb,1.74102600,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_3
GSE167931,GSM5115829,GSM5115829,NP,degenerated,inflammatory_nfkb,0.58362063,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_4
GSE167931,GSM5115830,GSM5115830,NP,degenerated,inflammatory_nfkb,0.49873312,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_5
GSE167931,GSM5115822,GSM5115822,NP,normal,hypoxia_oxidative_stress,1.39315197,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_3
GSE167931,GSM5115823,GSM5115823,NP,normal,hypoxia_oxidative_stress,0.97664255,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_4
GSE167931,GSM5115824,GSM5115824,NP,normal,hypoxia_oxidative_stress,0.89698422,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_7
GSE167931,GSM5115825,GSM5115825,NP,normal,hypoxia_oxidative_stress,0.20124850,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_8
GSE167931,GSM5115826,GSM5115826,NP,degenerated,hypoxia_oxidative_stress,1.48859775,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_1
GSE167931,GSM5115827,GSM5115827,NP,degenerated,hypoxia_oxidative_stress,2.00425541,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_2
GSE167931,GSM5115828,GSM5115828,NP,degenerated,hypoxia_oxidative_stress,1.98759015,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_3
GSE167931,GSM5115829,GSM5115829,NP,degenerated,hypoxia_oxidative_stress,0.81992746,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_4
GSE167931,GSM5115830,GSM5115830,NP,degenerated,hypoxia_oxidative_stress,1.06349522,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_5
GSE167931,GSM5115822,GSM5115822,NP,normal,disc_matrix_homeostasis,0.83976450,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_3
GSE167931,GSM5115823,GSM5115823,NP,normal,disc_matrix_homeostasis,0.83197532,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_4
GSE167931,GSM5115824,GSM5115824,NP,normal,disc_matrix_homeostasis,0.83366720,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_7
GSE167931,GSM5115825,GSM5115825,NP,normal,disc_matrix_homeostasis,0.63876266,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_C_8
GSE167931,GSM5115826,GSM5115826,NP,degenerated,disc_matrix_homeostasis,2.60137902,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_1
GSE167931,GSM5115827,GSM5115827,NP,degenerated,disc_matrix_homeostasis,1.84608102,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_2
GSE167931,GSM5115828,GSM5115828,NP,degenerated,disc_matrix_homeostasis,1.72500476,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_3
GSE167931,GSM5115829,GSM5115829,NP,degenerated,disc_matrix_homeostasis,2.07596755,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_4
GSE167931,GSM5115830,GSM5115830,NP,degenerated,disc_matrix_homeostasis,0.69790300,score_available,1.000000,,,"GEO supplementary FPKM matrix; nine exact matrix-column-to-GSM matches; public series metadata has no patient ID, age, or sex",post_hoc_external_processed_score_support_only,GEO-deposited FPKM,mean over mapped genes of log1p(FPKM),NP_E_5
