dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role,source_value_scale,score_formula,matrix_column
GSE167931,GSM5115822,GSM5115822,NP,normal,ecm_collagen_remodeling,3.16552638,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_C_3
GSE167931,GSM5115823,GSM5115823,NP,normal,ecm_collagen_remodeling,1.60862404,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_C_4
GSE167931,GSM5115824,GSM5115824,NP,normal,ecm_collagen_remodeling,1.58100693,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_C_7
GSE167931,GSM5115825,GSM5115825,NP,normal,ecm_collagen_remodeling,1.11454603,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_C_8
GSE167931,GSM5115826,GSM5115826,NP,degenerated,ecm_collagen_remodeling,3.66778162,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_E_1
GSE167931,GSM5115827,GSM5115827,NP,degenerated,ecm_collagen_remodeling,2.67779345,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_E_2
GSE167931,GSM5115828,GSM5115828,NP,degenerated,ecm_collagen_remodeling,2.67734990,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_E_3
GSE167931,GSM5115829,GSM5115829,NP,degenerated,ecm_collagen_remodeling,2.16843837,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_E_4
GSE167931,GSM5115830,GSM5115830,NP,degenerated,ecm_collagen_remodeling,0.90043827,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_E_5
GSE167931,GSM5115822,GSM5115822,NP,normal,inflammatory_nfkb,1.15452682,score_available,1.000000,,,GEO supplementary TPM matrix paired to the same nine GSE167931 samples; not eligible to enter a meta-analysis together with the FPKM representation,data_processing_sensitivity_not_an_additional_cohort,GEO-deposited TPM,mean over mapped genes of log1p(TPM),NP_C_3
