dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role,source_value_scale,score_formula,matrix_column
GSE186542,GSM5655437,GSM5655437,NP,early_control,ecm_collagen_remodeling,5.19142068,score_available,1.000000,,17538531.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_1_count
GSE186542,GSM5655438,GSM5655438,NP,early_control,ecm_collagen_remodeling,7.07855152,score_available,1.000000,,20038428.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_2_count
GSE186542,GSM5655439,GSM5655439,NP,early_control,ecm_collagen_remodeling,6.10735083,score_available,1.000000,,12658056.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_3_count
GSE186542,GSM5655440,GSM5655440,NP,advanced_degenerated,ecm_collagen_remodeling,6.90879733,score_available,1.000000,,25074893.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_1_count
GSE186542,GSM5655441,GSM5655441,NP,advanced_degenerated,ecm_collagen_remodeling,6.19211534,score_available,1.000000,,20887419.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_2_count
GSE186542,GSM5655442,GSM5655442,NP,advanced_degenerated,ecm_collagen_remodeling,5.96030362,score_available,1.000000,,23087604.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_3_count
GSE186542,GSM5655437,GSM5655437,NP,early_control,inflammatory_nfkb,3.01698492,score_available,1.000000,,17538531.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_1_count
GSE186542,GSM5655438,GSM5655438,NP,early_control,inflammatory_nfkb,3.13864646,score_available,1.000000,,20038428.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_2_count
GSE186542,GSM5655439,GSM5655439,NP,early_control,inflammatory_nfkb,2.42559792,score_available,1.000000,,12658056.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_3_count
GSE186542,GSM5655440,GSM5655440,NP,advanced_degenerated,inflammatory_nfkb,2.62355186,score_available,1.000000,,25074893.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_1_count
GSE186542,GSM5655441,GSM5655441,NP,advanced_degenerated,inflammatory_nfkb,2.70160429,score_available,1.000000,,20887419.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_2_count
GSE186542,GSM5655442,GSM5655442,NP,advanced_degenerated,inflammatory_nfkb,3.27292214,score_available,1.000000,,23087604.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_3_count
GSE186542,GSM5655437,GSM5655437,NP,early_control,hypoxia_oxidative_stress,4.35100946,score_available,1.000000,,17538531.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_1_count
GSE186542,GSM5655438,GSM5655438,NP,early_control,hypoxia_oxidative_stress,3.83200010,score_available,1.000000,,20038428.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_2_count
GSE186542,GSM5655439,GSM5655439,NP,early_control,hypoxia_oxidative_stress,4.21716500,score_available,1.000000,,12658056.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_3_count
GSE186542,GSM5655440,GSM5655440,NP,advanced_degenerated,hypoxia_oxidative_stress,4.20258158,score_available,1.000000,,25074893.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_1_count
GSE186542,GSM5655441,GSM5655441,NP,advanced_degenerated,hypoxia_oxidative_stress,4.00173590,score_available,1.000000,,20887419.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_2_count
GSE186542,GSM5655442,GSM5655442,NP,advanced_degenerated,hypoxia_oxidative_stress,4.19547144,score_available,1.000000,,23087604.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_3_count
GSE186542,GSM5655437,GSM5655437,NP,early_control,disc_matrix_homeostasis,4.48393068,score_available,1.000000,,17538531.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_1_count
GSE186542,GSM5655438,GSM5655438,NP,early_control,disc_matrix_homeostasis,4.30745729,score_available,1.000000,,20038428.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_2_count
GSE186542,GSM5655439,GSM5655439,NP,early_control,disc_matrix_homeostasis,6.05054629,score_available,1.000000,,12658056.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_control_3_count
GSE186542,GSM5655440,GSM5655440,NP,advanced_degenerated,disc_matrix_homeostasis,5.71649681,score_available,1.000000,,25074893.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_1_count
GSE186542,GSM5655441,GSM5655441,NP,advanced_degenerated,disc_matrix_homeostasis,6.22016580,score_available,1.000000,,20887419.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_2_count
GSE186542,GSM5655442,GSM5655442,NP,advanced_degenerated,disc_matrix_homeostasis,4.37945797,score_available,1.000000,,23087604.00000000,"GEO supplementary gene-by-sample count matrix; six exact matrix-column-to-GSM matches; no publicly supplied patient ID, age, or sex",post_hoc_external_count_level_score_support_only,GEO-deposited raw gene counts,mean over mapped genes of log1p(1e6 * raw gene count / supplied sample total count),NP_degenerated_3_count
