dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role,source_value_scale,score_formula,matrix_column
GSE245147,GSM7837568,GSM7837568,NP,degenerated,ecm_collagen_remodeling,4.47090926,score_available,1.000000,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,Degenerated_1
GSE245147,GSM7837569,GSM7837569,NP,degenerated,ecm_collagen_remodeling,4.48647954,score_available,1.000000,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,Degenerated_2
GSE245147,GSM7837570,GSM7837570,NP,degenerated,ecm_collagen_remodeling,4.49416964,score_available,1.000000,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,Degenerated_3
GSE245147,GSM7837571,GSM7837571,NP,no_degenerated,ecm_collagen_remodeling,4.29867682,score_available,1.000000,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,NO_Degenerated_1
GSE245147,GSM7837572,GSM7837572,NP,no_degenerated,ecm_collagen_remodeling,4.27017944,score_available,1.000000,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,NO_Degenerated_2
GSE245147,GSM7837573,GSM7837573,NP,no_degenerated,ecm_collagen_remodeling,4.26975465,score_available,1.000000,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,NO_Degenerated_3
GSE245147,GSM7837568,GSM7837568,NP,degenerated,inflammatory_nfkb,1.42981039,score_available,0.952381,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,Degenerated_1
GSE245147,GSM7837569,GSM7837569,NP,degenerated,inflammatory_nfkb,1.44298200,score_available,0.952381,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,Degenerated_2
GSE245147,GSM7837570,GSM7837570,NP,degenerated,inflammatory_nfkb,1.42994185,score_available,0.952381,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,Degenerated_3
GSE245147,GSM7837571,GSM7837571,NP,no_degenerated,inflammatory_nfkb,1.35744812,score_available,0.952381,,,GEO supplementary RPKM matrix; the six native Degenerated/NO_Degenerated columns map exactly to six GSM accessions; P2/P8 passage and DMSO/H-151 treatment columns are explicitly excluded,post_hoc_external_processed_score_support_only_native_clinical_subset,GEO-deposited RPKM,mean over mapped genes of log1p(RPKM) for the native clinical-comparison subset,NO_Degenerated_1
