dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells
GSE244889,GSM7831813,Pa-17F,NP,MDD,ecm_collagen_remodeling,4.45530437,score_available,1.000000,5371,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,inflammatory_nfkb,2.38057917,score_available,1.000000,5371,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,hypoxia_oxidative_stress,4.57314332,score_available,1.000000,5371,67860426
GSE244889,GSM7831813,Pa-17F,NP,MDD,disc_matrix_homeostasis,5.19970566,score_available,1.000000,5371,67860426
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,4.97630081,score_available,1.000000,2114,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,3.61754452,score_available,1.000000,2114,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,4.65758096,score_available,1.000000,2114,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,5.21365462,score_available,1.000000,2114,15001138
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,5.22494484,score_available,1.000000,5998,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,2.84235586,score_available,1.000000,5998,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,4.82696412,score_available,1.000000,5998,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,5.36568863,score_available,1.000000,5998,80969098
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,4.38001232,score_available,1.000000,7223,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,inflammatory_nfkb,2.51614175,score_available,1.000000,7223,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,hypoxia_oxidative_stress,4.77520613,score_available,1.000000,7223,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,disc_matrix_homeostasis,5.27788194,score_available,1.000000,7223,94450849
GSE244889,GSM7831817,Pc-41M,NP,SDD,ecm_collagen_remodeling,5.27188592,score_available,1.000000,5421,104510338
GSE244889,GSM7831817,Pc-41M,NP,SDD,inflammatory_nfkb,2.57098142,score_available,1.000000,5421,104510338
GSE244889,GSM7831817,Pc-41M,NP,SDD,hypoxia_oxidative_stress,4.81931865,score_available,1.000000,5421,104510338
GSE244889,GSM7831817,Pc-41M,NP,SDD,disc_matrix_homeostasis,5.51865071,score_available,1.000000,5421,104510338
GSE244889,GSM7831818,Pd-62F,NP,SDD,ecm_collagen_remodeling,6.06252977,score_available,1.000000,8776,91837005
GSE244889,GSM7831818,Pd-62F,NP,SDD,inflammatory_nfkb,3.12180174,score_available,1.000000,8776,91837005
GSE244889,GSM7831818,Pd-62F,NP,SDD,hypoxia_oxidative_stress,4.86457752,score_available,1.000000,8776,91837005
GSE244889,GSM7831818,Pd-62F,NP,SDD,disc_matrix_homeostasis,5.39953456,score_available,1.000000,8776,91837005
GSE244889,GSM7831819,Pd-59F,NP,SDD,ecm_collagen_remodeling,5.85405573,score_available,1.000000,7487,82737505
GSE244889,GSM7831819,Pd-59F,NP,SDD,inflammatory_nfkb,2.97255726,score_available,1.000000,7487,82737505
GSE244889,GSM7831819,Pd-59F,NP,SDD,hypoxia_oxidative_stress,5.15506752,score_available,1.000000,7487,82737505
GSE244889,GSM7831819,Pd-59F,NP,SDD,disc_matrix_homeostasis,4.98395656,score_available,1.000000,7487,82737505
