dataset,gsm,donor_id,compartment,disease_state,included_cells,total_umi_included_cells,annotation_source
GSE230808,GSM7235331,SP20.002,AF,diseased,471,3166379,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235332,SP20.006,AF,diseased,1304,18461300,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235333,SP21.007,AF,diseased,5360,72099228,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235334,SP21.011,AF,diseased,2100,101714852,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235335,SP21.013,AF,diseased,3739,59809660,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235336,SP21.014,AF,diseased,2374,36909243,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235337,SP21.016,AF,diseased,481,16047082,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235338,SP21.017,AF,diseased,8150,12015201,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235339,SP22.002,AF,diseased,3442,80129456,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235340,SP22.003,AF,diseased,4138,90844059,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235341,SP21.007,NP,diseased,4154,89070698,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235342,SP21.011,NP,diseased,1783,102726401,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235343,SP21.013,NP,diseased,2122,61708790,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235344,SP21.014,NP,diseased,3409,74292100,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235345,SP21.016,NP,diseased,1376,48267263,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235346,SP21.017,NP,diseased,2498,45483145,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235347,SP22.002,NP,diseased,3291,42390781,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
GSE230808,GSM7235348,SP22.003,NP,diseased,13748,68843786,data\derived\annotation\GSE230808_RAW_cell_annotation.csv.gz
