dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells
GSE229711,GSM7173748,SP21.015,AF,healthy,ecm_collagen_remodeling,5.49988358,score_available,1.000000,6725,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,inflammatory_nfkb,2.55723430,score_available,1.000000,6725,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,hypoxia_oxidative_stress,5.26660756,score_available,0.944444,6725,101954698
GSE229711,GSM7173748,SP21.015,AF,healthy,disc_matrix_homeostasis,1.94494579,score_available,1.000000,6725,101954698
GSE229711,GSM7173749,SP21.018,AF,healthy,ecm_collagen_remodeling,5.16871549,score_available,1.000000,7577,140462883
GSE229711,GSM7173749,SP21.018,AF,healthy,inflammatory_nfkb,2.34897921,score_available,1.000000,7577,140462883
GSE229711,GSM7173749,SP21.018,AF,healthy,hypoxia_oxidative_stress,4.91792262,score_available,0.944444,7577,140462883
GSE229711,GSM7173749,SP21.018,AF,healthy,disc_matrix_homeostasis,2.84355421,score_available,1.000000,7577,140462883
GSE229711,GSM7173750,SP22.001,AF,healthy,ecm_collagen_remodeling,5.07768123,score_available,1.000000,4518,83429879
GSE229711,GSM7173750,SP22.001,AF,healthy,inflammatory_nfkb,2.13962285,score_available,1.000000,4518,83429879
GSE229711,GSM7173750,SP22.001,AF,healthy,hypoxia_oxidative_stress,4.92076477,score_available,0.944444,4518,83429879
GSE229711,GSM7173750,SP22.001,AF,healthy,disc_matrix_homeostasis,2.20520678,score_available,1.000000,4518,83429879
GSE229711,GSM7173751,SP21.015,NP,healthy,ecm_collagen_remodeling,4.71293394,score_available,1.000000,1650,17298631
GSE229711,GSM7173751,SP21.015,NP,healthy,inflammatory_nfkb,2.48487945,score_available,1.000000,1650,17298631
GSE229711,GSM7173751,SP21.015,NP,healthy,hypoxia_oxidative_stress,4.92095293,score_available,0.944444,1650,17298631
GSE229711,GSM7173751,SP21.015,NP,healthy,disc_matrix_homeostasis,2.66801205,score_available,1.000000,1650,17298631
GSE229711,GSM7173752,SP21.018,NP,healthy,ecm_collagen_remodeling,4.70105553,score_available,1.000000,15257,142126122
GSE229711,GSM7173752,SP21.018,NP,healthy,inflammatory_nfkb,2.30455145,score_available,1.000000,15257,142126122
GSE229711,GSM7173752,SP21.018,NP,healthy,hypoxia_oxidative_stress,4.72289498,score_available,0.944444,15257,142126122
GSE229711,GSM7173752,SP21.018,NP,healthy,disc_matrix_homeostasis,1.35605756,score_available,1.000000,15257,142126122
GSE229711,GSM7173753,SP22.001,NP,healthy,ecm_collagen_remodeling,4.78606286,score_available,1.000000,7070,122814612
GSE229711,GSM7173753,SP22.001,NP,healthy,inflammatory_nfkb,2.20680143,score_available,1.000000,7070,122814612
GSE229711,GSM7173753,SP22.001,NP,healthy,hypoxia_oxidative_stress,4.87675630,score_available,0.944444,7070,122814612
GSE229711,GSM7173753,SP22.001,NP,healthy,disc_matrix_homeostasis,1.77171897,score_available,1.000000,7070,122814612
