"parameter","value"
"scope","post hoc six-cohort human NP expansion; frozen four-cohort S7/S3 package unchanged"
"primary_effect_measure","SMDH via metafor::escalc(measure = 'SMDH')"
"primary_tau_squared_estimator","REML"
"primary_interval_method","Knapp-Hartung"
"primary_cohort_count_per_module","6"
"newly_added_external_cohorts","GSE186542 external count-score support; GSE167931 FPKM external processed-score support"
"independence_boundary","BioProject/accession-level additions only; patient-level independence remains unverified from public metadata"
"unit_of_analysis","donor or presumed donor/sample/library key; cells remain nested"
"paired_processing_representation_excluded","GSE167931 TPM paired representation"
"excluded_cohort","GSE251686; GSM7986002 remains permanently excluded"
"REML_convergence_control","metafor REML maxiter=10000 with all other control values default; numerical iteration ceiling only, with the control recorded per model"
"pooled_SD_sensitivity","Hedges g via metafor::escalc(measure = 'SMD')"
"tau_squared_sensitivity","Paule-Mandel"
"multiplicity_adjustment","Benjamini-Hochberg across four primary module-level HKSJ p-values"
"prohibited_analyses","meta-regression; funnel plot; Egger test; pooled AF/NP analysis; patient-level confirmation; causal or therapeutic inference"
