release_groups	local_path	accession	resource_role	asset_kind	source	url	bytes	sha256	notes
default	data/raw/GSE229711_RAW.tar	GSE229711	Exploratory GSE230809 child-series raw scRNA-seq input	raw_archive	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE229nnn/GSE229711/suppl/GSE229711_RAW.tar	464261120	76842da95a99c964d86b68bca6a3257294845866d83aa90583d0446cc8b174f4	Default analysis; GSE229711 and GSE230808 form one exploratory parent project.
default	data/raw/GSE229711_family.soft.gz	GSE229711	GEO sample metadata for GSE229711	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE229nnn/GSE229711/soft/GSE229711_family.soft.gz	3209	a6285a004c35491f2f01b09778ea60c2992121257c95db2f7562bf5310d9e0a9	Default analysis metadata.
default	data/raw/GSE230808_RAW.tar	GSE230808	Exploratory GSE230809 child-series raw scRNA-seq input	raw_archive	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230808/suppl/GSE230808_RAW.tar	737361920	cbff3048581362d69ef5eb33130d5dd97b52a501af1b0a1789c2484012c811ec	Default analysis; GSE229711 and GSE230808 form one exploratory parent project.
default	data/raw/GSE230808_family.soft.gz	GSE230808	GEO sample metadata for GSE230808	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230808/soft/GSE230808_family.soft.gz	4752	2053275758a2ce061734b7722b987dd316a30cd50f76d6b0ac0c1f02391dfdba	Default analysis metadata.
default	data/raw/GSE165722_RAW.tar	GSE165722	NP score-level direction-support input	raw_archive	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165722/suppl/GSE165722_RAW.tar	69949440	f4e3e7a43fe23a8df250fee99dfcd664f0262d997e84e9e2addff83ace86cab6	Default analysis; GEO describes supplied values as normalized counts.
default	data/raw/GSE165722_family.soft.gz	GSE165722	GEO sample metadata for GSE165722	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165722/soft/GSE165722_family.soft.gz	2995	206e75c0abbd521c20c16cb6f781ca02a2276fe40b0c0eb0d0561c4d1570b671	Default analysis metadata.
default	data/raw/GSE244889_RAW.tar	GSE244889	NP scRNA-seq direction-support input	raw_archive	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244889/suppl/GSE244889_RAW.tar	546119680	3bf1617b85e2fa08e2074c0de8fc87aaeb97c42b29bbbce77634f2c43d35c9b1	Default analysis; small directional support cohort.
default	data/raw/GSE244889_FPKM.txt.gz	GSE244889	Separate processed bulk expression table	processed_expression	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244889/suppl/GSE244889_FPKM.txt.gz	647864	6fcccafc760c5b70e55c322a07c94ff5493e36cbb0c50cca9bd1a7ee209c7ea4	Retained for complete audit reproducibility; not a raw-count scRNA-seq input.
default	data/raw/GSE244889_filelist.txt	GSE244889	GEO supplementary-file listing	file_list	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244889/suppl/filelist.txt	1564	df08d97fc3417ce809927c65437356cfb1cbd9e562ff57d2b1792ba9f8883635	Retained for asset audit reproducibility.
default	data/raw/GSE244889_family.soft.gz	GSE244889	GEO sample metadata for GSE244889	soft_metadata	NCBI GEO	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244889/soft/GSE244889_family.soft.gz	3329	877bb67d2d22e35e28b047857a08999c73355d6a69b733141d2f7e2b81f0bdcb	Default analysis metadata.
