cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,contrast_label,excluded_donor_or_library_key,excluded_arm,remaining_comparison_n,remaining_target_n,leave_one_out_effect_target_minus_comparison,leave_one_out_effect_direction,full_effect_direction,direction_agrees_with_full_effect,leave_one_out_status
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL1,comparison,7,8,-0.36915764,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL2,comparison,7,8,0.04957879,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL3,comparison,7,8,0.12278231,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL4,comparison,7,8,-0.06591541,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL5,comparison,7,8,-0.03295474,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL6,comparison,7,8,0.07751292,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL7,comparison,7,8,-0.00856002,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,CTL8,comparison,7,8,-0.15100649,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD1,target,8,7,-0.10247017,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD2,target,8,7,0.04549126,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD3,target,8,7,-0.02609122,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD4,target,8,7,-0.15940279,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD5,target,8,7,0.01968444,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD6,target,8,7,-0.03200458,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD7,target,8,7,-0.13755906,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,disc_matrix_homeostasis,degenerated_minus_relatively_normal,IDD8,target,8,7,0.01463184,positive_higher_target_severity,negative_lower_target_severity,false,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,CTL1,comparison,7,8,-0.43821182,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
