"cohort_id","module_id","contrast_label","target_group","target_n","target_mean","target_sd","comparison_group","comparison_n","comparison_mean","comparison_sd","cohort_limitations","raw_mean_difference_target_minus_comparison","hedges_g","hedges_g_variance","hedges_g_standard_error","smdh","smdh_variance","smdh_standard_error","cohort","module","all_cohorts_confirmatory_eligible","analysis_boundary"
"GSE230809_discovery","ecm_collagen_remodeling","advanced_degeneration_associated_minus_healthy_low_grade","advanced_degeneration_associated",8,5.07878688,0.19796665,"healthy_low_grade",3,4.73335078,0.04603474,"One parent project; age and disease status are fully confounded, and the healthy group has n=3. Exploratory effect-size and stability display only.",0.3454361,1.7943430053893,0.604681825196493,0.777612901896884,2.19655413317109,0.635711350498066,0.797315088593002,"GSE230809 parent (3 vs 8)","ECM / collagen remodeling",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE244889_directional","ecm_collagen_remodeling","severe_SDD_minus_mild_MDD","severe_SDD",3,5.72949047,0.40977653,"mild_MDD",4,4.75914058,0.40832457,"Four MDD versus three SDD title-derived presumed donor/library keys; directional support only, not confirmatory validation.",0.97034989,1.99512955555925,0.867657757866624,0.931481485520042,1.99442124371499,1.24886387643546,1.11752578334259,"GSE244889 (NP 4 vs 3)","ECM / collagen remodeling",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE153066_support","ecm_collagen_remodeling","degenerated_minus_relatively_normal","degenerated",8,5.82736372,0.90418391,"relatively_normal",8,6.23076674,0.72129989,"Eight relatively-normal versus eight degenerated presumed sample/library keys. The GEO-retained dense count matrix follows contributor cell filtering; clinical source and age are confounded with disease status. External support only, not an age-independent or causal contrast.",-0.40340302,-0.466250150017952,0.256793412574743,0.506747878707689,-0.466250150017952,0.293861539829133,0.542089973924194,"GSE153066 (NP 8 vs 8)","ECM / collagen remodeling",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE165722_score_level","ecm_collagen_remodeling","severe_minus_mild","severe",4,6.39348001,0.50645444,"mild",4,4.71507373,1.89357151,"Four mild versus four severe presumed sample keys, with severity assigned from the source-publication grouping because GEO and source-publication grades differ. GEO describes supplied values as normalized counts; this cohort supports only score-level direction and leave-one-key-out stability, not raw-count, cell-level, confirmatory, causal, or age-adjusted inference.",1.67840628,1.05186598740621,0.569151378466377,0.754421220848391,1.05186598740621,0.828092758871584,0.909996021349316,"GSE165722 (NP 4 vs 4)","ECM / collagen remodeling",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE186542_external_count_support","ecm_collagen_remodeling","advanced_Pfirrmann_IV_V_minus_early_Pfirrmann_I_III","advanced_Pfirrmann_IV_V",3,6.35373876,0.49447111,"early_Pfirrmann_I_III",3,6.12577434,0.94370031,"Post hoc external human NP cohort: early Pfirrmann I-III n=3 versus advanced IV-V n=3. Matrix columns map exactly to six GSM accessions and four locked modules map at 100%. BioProject PRJNA774342 is accession-level independent from the default cohorts, but GEO does not expose patient ID, age, sex, or disc level. Supplied count and processed-value provenance is inconsistent in GEO metadata; use score-level standardization only, not raw-count-model inference or confirmatory validation.",0.227964419999999,0.241440672320954,0.671524466520899,0.819465964223591,0.241440672320954,1.00964740279397,1.00481212313247,"GSE186542 (3 vs 3)","ECM / collagen remodeling",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE167931_external_fpkm_support","ecm_collagen_remodeling","degenerated_minus_normal","degenerated",5,1.90733625,0.80103058,"normal",4,1.52732253,0.7442939,"Post hoc external human NP cohort: normal n=4 versus degenerated n=5. FPKM matrix columns map exactly to nine GSM accessions and four locked modules map at 100%. BioProject PRJNA705603 is accession-level independent from the default cohorts, but GEO does not expose patient ID, age, sex, or disc level. This FPKM representation is included once; the paired TPM representation is a same-sample processing sensitivity and is not an additional study. No raw-count model, confirmatory validation, causal, or age-adjusted inference.",0.38001372,0.434276453968217,0.460477557692845,0.678584967187489,0.436545244918908,0.59090183266107,0.768701393690079,"GSE167931 FPKM (4 vs 5)","ECM / collagen remodeling",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE230809_discovery","inflammatory_nfkb","advanced_degeneration_associated_minus_healthy_low_grade","advanced_degeneration_associated",8,2.22115378,0.09136621,"healthy_low_grade",3,2.33207744,0.14106774,"One parent project; age and disease status are fully confounded, and the healthy group has n=3. Exploratory effect-size and stability display only.",-0.11092366,-0.970285896725551,0.501126729759902,0.707903051102269,-0.852968347378693,0.883723806487767,0.940065852208114,"GSE230809 parent (3 vs 8)","Inflammatory / NF-kB",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE244889_directional","inflammatory_nfkb","severe_SDD_minus_mild_MDD","severe_SDD",3,2.88844681,0.28488012,"mild_MDD",4,2.83915533,0.55393436,"Four MDD versus three SDD title-derived presumed donor/library keys; directional support only, not confirmatory validation.",0.0492914799999999,0.0890513014307944,0.583899771496656,0.76413334667233,0.0940886445767989,0.737408507071888,0.858724930971431,"GSE244889 (NP 4 vs 3)","Inflammatory / NF-kB",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE153066_support","inflammatory_nfkb","degenerated_minus_relatively_normal","degenerated",8,4.22052703,0.31121035,"relatively_normal",8,3.54043393,0.66258506,"Eight relatively-normal versus eight degenerated presumed sample/library keys. The GEO-retained dense count matrix follows contributor cell filtering; clinical source and age are confounded with disease status. External support only, not an age-independent or causal contrast.",0.680093100000001,1.24198778013215,0.298204176437425,0.546080741683338,1.24198778013215,0.363265965313568,0.602715492843488,"GSE153066 (NP 8 vs 8)","Inflammatory / NF-kB",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
"GSE165722_score_level","inflammatory_nfkb","severe_minus_mild","severe",4,4.52640076,0.41180618,"mild",4,4.54341931,0.58513705,"Four mild versus four severe presumed sample keys, with severity assigned from the source-publication grouping because GEO and source-publication grades differ. GEO describes supplied values as normalized counts; this cohort supports only score-level direction and leave-one-key-out stability, not raw-count, cell-level, confirmatory, causal, or age-adjusted inference.",-0.0170185500000004,-0.0292178727384937,0.50005335525546,0.707144508043059,-0.0292178727384937,0.666745911393291,0.816545106771996,"GSE165722 (NP 4 vs 4)","Inflammatory / NF-kB",FALSE,"Post hoc exploratory accession-level external expansion; score-level standardization only; not patient-level confirmation, replication, mechanism, biomarker, or therapy evidence."
