module_id,gene,gene_id,canonical_transcript,assembly,candidate_probe_count,candidate_probe_ids,locked_gene_collision_probe_count,locked_gene_collision_probe_ids,mapping_status
ecm_collagen_remodeling,ADAMTS4,ENSG00000158859,ENST00000367996.6,GRCh38,1,ASHG19A3A054434,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,ADAMTS5,ENSG00000154736,ENST00000284987.6,GRCh38,1,ASHG19A3A018713,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL1A1,ENSG00000108821,ENST00000225964.10,GRCh38,3,ASHG19A3A000539;ASHG19A3A009697;ASHG19A3A009698,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL1A2,ENSG00000164692,ENST00000297268.11,GRCh38,1,ASHG19A3A034720,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL3A1,ENSG00000168542,ENST00000304636.9,GRCh38,1,ASHG19A3A016710,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL5A1,ENSG00000130635,ENST00000371817.8,GRCh38,1,ASHG19A3A039411,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL5A2,ENSG00000204262,ENST00000374866.9,GRCh38,1,ASHG19A3A014759,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL6A1,ENSG00000142156,ENST00000361866.8,GRCh38,1,ASHG19A3A019376,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,COL6A2,ENSG00000142173,ENST00000300527.9,GRCh38,0,,0,,no_exact_canonical_transcript_match
ecm_collagen_remodeling,COL6A3,ENSG00000163359,ENST00000295550.9,GRCh38,1,ASHG19A3A015158,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,DCN,ENSG00000011465,ENST00000052754.10,GRCh38,1,ASHG19A3A047884,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,FN1,ENSG00000115414,ENST00000354785.11,GRCh38,1,ASHG19A3A014964,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,LOX,ENSG00000113083,ENST00000231004.5,GRCh38,1,ASHG19A3A027291,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,LOXL2,ENSG00000134013,ENST00000389131.8,GRCh38,1,ASHG19A3A035610,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,LUM,ENSG00000139329,ENST00000266718.5,GRCh38,1,ASHG19A3A047881,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,MMP2,ENSG00000087245,ENST00000219070.9,GRCh38,1,ASHG19A3A054595,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,MMP3,ENSG00000149968,ENST00000299855.10,GRCh38,1,ASHG19A3A045633,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,MMP9,ENSG00000100985,ENST00000372330.3,GRCh38,1,ASHG19A3A018390,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,MMP13,ENSG00000137745,ENST00000260302.8,GRCh38,1,ASHG19A3A045635,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,POSTN,ENSG00000133110,ENST00000379747.9,GRCh38,2,ASHG19A3A004505;ASHG19A3A049458,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,SPARC,ENSG00000113140,ENST00000231061.9,GRCh38,1,ASHG19A3A027602,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,TIMP1,ENSG00000102265,ENST00000218388.9,GRCh38,1,ASHG19A3A040920,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,TIMP2,ENSG00000035862,ENST00000262768.11,GRCh38,1,ASHG19A3A008851,0,,sequence_match_unique_within_locked_genes
ecm_collagen_remodeling,TNC,ENSG00000041982,ENST00000350763.9,GRCh38,1,ASHG19A3A037957,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,CCL2,ENSG00000108691,ENST00000225831.4,GRCh38,1,ASHG19A3A009392,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,CCL5,ENSG00000271503,ENST00000605140.6,GRCh38,1,ASHG19A3A008202,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,CXCL8,ENSG00000169429,ENST00000307407.8,GRCh38,1,ASHG19A3A025675,0,,sequence_match_unique_within_locked_genes
inflammatory_nfkb,FOS,ENSG00000170345,ENST00000303562.9,GRCh38,0,,0,,no_exact_canonical_transcript_match
inflammatory_nfkb,IKBKB,ENSG00000104365,ENST00000520810.6,GRCh38,1,ASHG19A3A036570,0,,sequence_match_unique_within_locked_genes
