source_file,record_id,pattern_id,probe_id,gene,orientation,start_1based,end_1based,sequence_length
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,147,ASHG19A3A044088,COL9A2,platform_reverse_complement_in_reference,40300491,40300550,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,123,ASHG19A3A044423,SLC2A1,platform_reverse_complement_in_reference,42925730,42925789,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,69,ASHG19A3A046493,JUN,platform_reverse_complement_in_reference,58780839,58780898,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,99,ASHG19A3A048316,GCLM,platform_reverse_complement_in_reference,93885277,93885336,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,101,ASHG19A3A048324,GCLM,platform_reverse_complement_in_reference,93896623,93896682,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,1,ASHG19A3A054434,ADAMTS4,platform_reverse_complement_in_reference,161195573,161195632,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,153,ASHG19A3A009976,FMOD,platform_reverse_complement_in_reference,203347890,203347949,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,94,ASHG19A3A041749,EGLN1,platform_forward_in_reference,231364153,231364212,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,93,ASHG19A3A012420,EGLN1,platform_reverse_complement_in_reference,231370575,231370634,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,1,74,ASHG19A3A042299,NLRP3,platform_forward_in_reference,247436081,247436140,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,10,89,ASHG19A3A043455,BNIP3,platform_reverse_complement_in_reference,131981761,131981820,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,11,112,ASHG19A3A046196,LDHA,platform_forward_in_reference,18405513,18405572,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,11,37,ASHG19A3A045633,MMP3,platform_reverse_complement_in_reference,102843504,102843563,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,11,33,ASHG19A3A045635,MMP13,platform_reverse_complement_in_reference,102949045,102949104,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,11,137,ASHG19A3A045906,B3GAT1,platform_reverse_complement_in_reference,134387751,134387810,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,12,87,ASHG19A3A047221,TNFRSF1A,platform_reverse_complement_in_reference,6333386,6333445,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,12,143,ASHG19A3A047527,COL2A1,platform_reverse_complement_in_reference,47974675,47974734,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,12,31,ASHG19A3A047881,LUM,platform_reverse_complement_in_reference,91108118,91108177,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,12,23,ASHG19A3A047884,DCN,platform_reverse_complement_in_reference,91182655,91182714,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,13,43,ASHG19A3A049458,POSTN,platform_reverse_complement_in_reference,37574572,37574631,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,14,73,ASHG19A3A050706,NFKBIA,platform_reverse_complement_in_reference,35401561,35401620,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,14,106,ASHG19A3A051502,HIF1A,platform_forward_in_reference,61745758,61745817,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,14,108,ASHG19A3A051503,HIF1A,platform_forward_in_reference,61747262,61747321,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,14,105,ASHG19A3A050857,HIF1A,platform_reverse_complement_in_reference,61747412,61747471,60
Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,15,134,ASHG19A3A053212,ACAN,platform_forward_in_reference,88873904,88873963,60
